sample	BTx645
genotype	count	fraction
1|1	167772	0.005008
1|2	522	0.000016
1/1	318633	0.009512
1/2	1773	0.000053
1/3	1	0.000000
2|2	326	0.000010
2/2	494	0.000015
0|0	11365	0.000339
2/3	1	0.000000
.|.	13366	0.000399
0|1	50392	0.001504
0/0	27361650	0.816810
0|2	219	0.000007
0/1	43658	0.001303
./.	5527436	0.165007
0|3	1	0.000000
0/2	585	0.000017
total	33498194	1.000000
