sample	BTx643
genotype	count	fraction
1|1	189606	0.005660
1|2	395	0.000012
1/1	410437	0.012253
1/2	935	0.000028
1/3	1	0.000000
2|2	128	0.000004
2/2	325	0.000010
0|0	5794	0.000173
2/3	1	0.000000
.|.	40786	0.001218
0|1	49401	0.001475
0/0	22109323	0.660015
0|2	44	0.000001
0/1	34650	0.001034
./.	10656247	0.318114
0/2	121	0.000004
total	33498194	1.000000
