## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI554648.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI554648_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI554648_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:33 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	117487511	426321	0	0	32895059	0	0.279988	168480992

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	59945023	59945023
2.0	1.497911	18556679	18556679
3.0	1.745826	4548454	4548454
4.0	1.869266	1019706	1019706
5.0	1.930728	228336	228336
6.0	1.961331	59700	59700
7.0	1.976568	22273	22273
8.0	1.984155	12233	12233
9.0	1.987933	7975	7975
10.0	1.989814	6036	6036
11.0	1.99075	4650	4650
12.0	1.991216	3671	3671
13.0	1.991449	3017	3017
14.0	1.991564	2500	2500
15.0	1.991622	2148	2148
16.0	1.99165	1718	1718
17.0	1.991665	1497	1497
18.0	1.991672	1318	1318
19.0	1.991675	1075	1075
20.0	1.991677	993	993
21.0	1.991678	826	826
22.0	1.991678	737	737
23.0	1.991679	686	686
24.0	1.991679	592	592
25.0	1.991679	511	511
26.0	1.991679	459	459
27.0	1.991679	462	462
28.0	1.991679	412	412
29.0	1.991679	368	368
30.0	1.991679	291	291
31.0	1.991679	268	268
32.0	1.991679	250	250
33.0	1.991679	236	236
34.0	1.991679	217	217
35.0	1.991679	197	197
36.0	1.991679	161	161
37.0	1.991679	187	187
38.0	1.991679	145	145
39.0	1.991679	157	157
40.0	1.991679	130	130
41.0	1.991679	147	147
42.0	1.991679	97	97
43.0	1.991679	142	142
44.0	1.991679	99	99
45.0	1.991679	92	92
46.0	1.991679	80	80
47.0	1.991679	81	81
48.0	1.991679	84	84
49.0	1.991679	77	77
50.0	1.991679	64	64
51.0	1.991679	56	56
52.0	1.991679	68	68
53.0	1.991679	59	59
54.0	1.991679	40	40
55.0	1.991679	53	53
56.0	1.991679	49	49
57.0	1.991679	47	47
58.0	1.991679	42	42
59.0	1.991679	38	38
60.0	1.991679	43	43
61.0	1.991679	31	31
62.0	1.991679	30	30
63.0	1.991679	44	44
64.0	1.991679	36	36
65.0	1.991679	27	27
66.0	1.991679	23	23
67.0	1.991679	17	17
68.0	1.991679	30	30
69.0	1.991679	18	18
70.0	1.991679	24	24
71.0	1.991679	18	18
72.0	1.991679	28	28
73.0	1.991679	11	11
74.0	1.991679	10	10
75.0	1.991679	20	20
76.0	1.991679	28	28
77.0	1.991679	14	14
78.0	1.991679	10	10
79.0	1.991679	11	11
80.0	1.991679	13	13
81.0	1.991679	13	13
82.0	1.991679	19	19
83.0	1.991679	12	12
84.0	1.991679	11	11
85.0	1.991679	10	10
86.0	1.991679	12	12
87.0	1.991679	10	10
88.0	1.991679	15	15
89.0	1.991679	8	8
90.0	1.991679	7	7
91.0	1.991679	9	9
92.0	1.991679	9	9
93.0	1.991679	10	10
94.0	1.991679	8	8
95.0	1.991679	12	12
96.0	1.991679	10	10
97.0	1.991679	6	6
98.0	1.991679	8	8
99.0	1.991679	4	4
100.0	1.991679	9	9
101.0	0	8	8
102.0	0	9	9
103.0	0	3	3
104.0	0	7	7
105.0	0	8	8
106.0	0	6	6
107.0	0	4	4
108.0	0	6	6
109.0	0	3	3
110.0	0	3	3
111.0	0	4	4
112.0	0	3	3
113.0	0	2	2
114.0	0	8	8
115.0	0	3	3
116.0	0	4	4
117.0	0	5	5
118.0	0	3	3
119.0	0	2	2
120.0	0	4	4
121.0	0	4	4
122.0	0	3	3
123.0	0	2	2
124.0	0	3	3
125.0	0	3	3
126.0	0	5	5
127.0	0	2	2
128.0	0	6	6
129.0	0	1	1
130.0	0	3	3
131.0	0	1	1
132.0	0	4	4
133.0	0	4	4
134.0	0	2	2
135.0	0	1	1
136.0	0	1	1
137.0	0	1	1
138.0	0	4	4
139.0	0	1	1
140.0	0	2	2
141.0	0	5	5
142.0	0	1	1
143.0	0	2	2
144.0	0	3	3
145.0	0	2	2
146.0	0	2	2
147.0	0	2	2
148.0	0	1	1
151.0	0	1	1
152.0	0	1	1
153.0	0	5	5
154.0	0	1	1
156.0	0	2	2
157.0	0	2	2
159.0	0	2	2
163.0	0	3	3
167.0	0	2	2
168.0	0	1	1
170.0	0	1	1
172.0	0	1	1
173.0	0	3	3
175.0	0	1	1
176.0	0	2	2
178.0	0	1	1
183.0	0	1	1
184.0	0	1	1
185.0	0	1	1
187.0	0	1	1
190.0	0	1	1
195.0	0	1	1
196.0	0	1	1
209.0	0	1	1
224.0	0	1	1
227.0	0	1	1
228.0	0	1	1
234.0	0	2	2
239.0	0	1	1
242.0	0	1	1
253.0	0	1	1
269.0	0	1	1

