## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601555.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601555_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601555_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	56262665	236346	0	0	11492144	0	0.204259	118250575

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35662916	35662916
2.0	1.621393	7212745	7212745
3.0	2.007522	1423190	1423190
4.0	2.24746	287443	287443
5.0	2.396555	63147	63147
6.0	2.489202	17372	17372
7.0	2.546772	6956	6956
8.0	2.582546	3805	3805
9.0	2.604775	2701	2701
10.0	2.618589	1916	1916
11.0	2.627172	1414	1414
12.0	2.632506	1045	1045
13.0	2.63582	808	808
14.0	2.63788	627	627
15.0	2.639159	494	494
16.0	2.639955	472	472
17.0	2.640449	349	349
18.0	2.640756	321	321
19.0	2.640947	246	246
20.0	2.641065	219	219
21.0	2.641139	194	194
22.0	2.641185	140	140
23.0	2.641213	145	145
24.0	2.641231	90	90
25.0	2.641242	110	110
26.0	2.641249	78	78
27.0	2.641253	83	83
28.0	2.641255	68	68
29.0	2.641257	58	58
30.0	2.641258	53	53
31.0	2.641259	51	51
32.0	2.641259	45	45
33.0	2.641259	29	29
34.0	2.641259	35	35
35.0	2.64126	23	23
36.0	2.64126	29	29
37.0	2.64126	28	28
38.0	2.64126	24	24
39.0	2.64126	17	17
40.0	2.64126	19	19
41.0	2.64126	17	17
42.0	2.64126	18	18
43.0	2.64126	21	21
44.0	2.64126	9	9
45.0	2.64126	9	9
46.0	2.64126	7	7
47.0	2.64126	10	10
48.0	2.64126	12	12
49.0	2.64126	11	11
50.0	2.64126	8	8
51.0	2.64126	5	5
52.0	2.64126	4	4
53.0	2.64126	3	3
54.0	2.64126	8	8
55.0	2.64126	4	4
56.0	2.64126	2	2
57.0	2.64126	6	6
58.0	2.64126	3	3
59.0	2.64126	7	7
60.0	2.64126	1	1
61.0	2.64126	5	5
62.0	2.64126	1	1
63.0	2.64126	3	3
64.0	2.64126	2	2
65.0	2.64126	3	3
66.0	2.64126	3	3
67.0	2.64126	3	3
68.0	2.64126	4	4
69.0	2.64126	1	1
70.0	2.64126	2	2
71.0	2.64126	2	2
72.0	2.64126	5	5
73.0	2.64126	2	2
74.0	2.64126	3	3
75.0	2.64126	0	0
76.0	2.64126	2	2
77.0	2.64126	2	2
78.0	2.64126	2	2
79.0	2.64126	1	1
80.0	2.64126	0	0
81.0	2.64126	1	1
82.0	2.64126	1	1
83.0	2.64126	1	1
84.0	2.64126	2	2
85.0	2.64126	0	0
86.0	2.64126	0	0
87.0	2.64126	0	0
88.0	2.64126	1	1
89.0	2.64126	1	1
90.0	2.64126	1	1
91.0	2.64126	3	3
92.0	2.64126	0	0
93.0	2.64126	0	0
94.0	2.64126	0	0
95.0	2.64126	1	1
96.0	2.64126	0	0
97.0	2.64126	0	0
98.0	2.64126	0	0
99.0	2.64126	0	0
100.0	2.64126	1	1
103.0	0	1	1
104.0	0	1	1
110.0	0	1	1
113.0	0	1	1
122.0	0	2	2
124.0	0	1	1
125.0	0	1	1
150.0	0	1	1

