## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI561926.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI561926_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI561926_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:43 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	138074328	610382	0	0	38870840	0	0.281521	196643469

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	69955547	69955547
2.0	1.495516	21870390	21870390
3.0	1.741052	5474261	5474261
4.0	1.862719	1254985	1254985
5.0	1.923007	282574	282574
6.0	1.952881	69981	69981
7.0	1.967684	22963	22963
8.0	1.975019	11090	11090
9.0	1.978653	6995	6995
10.0	1.980454	5120	5120
11.0	1.981347	3778	3778
12.0	1.981789	2973	2973
13.0	1.982008	2339	2339
14.0	1.982117	2058	2058
15.0	1.98217	1666	1666
16.0	1.982197	1420	1420
17.0	1.98221	1196	1196
18.0	1.982217	1002	1002
19.0	1.98222	809	809
20.0	1.982222	734	734
21.0	1.982223	696	696
22.0	1.982223	563	563
23.0	1.982223	500	500
24.0	1.982223	484	484
25.0	1.982223	432	432
26.0	1.982223	389	389
27.0	1.982223	303	303
28.0	1.982223	313	313
29.0	1.982223	273	273
30.0	1.982223	229	229
31.0	1.982223	216	216
32.0	1.982223	184	184
33.0	1.982223	178	178
34.0	1.982223	164	164
35.0	1.982223	166	166
36.0	1.982223	129	129
37.0	1.982223	132	132
38.0	1.982223	124	124
39.0	1.982223	110	110
40.0	1.982223	102	102
41.0	1.982223	90	90
42.0	1.982223	94	94
43.0	1.982223	75	75
44.0	1.982223	55	55
45.0	1.982223	74	74
46.0	1.982223	66	66
47.0	1.982223	58	58
48.0	1.982223	65	65
49.0	1.982223	53	53
50.0	1.982223	54	54
51.0	1.982223	52	52
52.0	1.982223	34	34
53.0	1.982223	52	52
54.0	1.982223	44	44
55.0	1.982223	34	34
56.0	1.982223	25	25
57.0	1.982223	22	22
58.0	1.982223	42	42
59.0	1.982223	26	26
60.0	1.982223	25	25
61.0	1.982223	22	22
62.0	1.982223	22	22
63.0	1.982223	21	21
64.0	1.982223	19	19
65.0	1.982223	28	28
66.0	1.982223	21	21
67.0	1.982223	23	23
68.0	1.982223	23	23
69.0	1.982223	22	22
70.0	1.982223	28	28
71.0	1.982223	15	15
72.0	1.982223	20	20
73.0	1.982223	14	14
74.0	1.982223	18	18
75.0	1.982223	9	9
76.0	1.982223	16	16
77.0	1.982223	10	10
78.0	1.982223	13	13
79.0	1.982223	11	11
80.0	1.982223	5	5
81.0	1.982223	7	7
82.0	1.982223	17	17
83.0	1.982223	16	16
84.0	1.982223	9	9
85.0	1.982223	9	9
86.0	1.982223	4	4
87.0	1.982223	7	7
88.0	1.982223	12	12
89.0	1.982223	5	5
90.0	1.982223	7	7
91.0	1.982223	8	8
92.0	1.982223	3	3
93.0	1.982223	7	7
94.0	1.982223	4	4
