## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI554646.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI554646_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI554646_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:29 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	133469595	558631	0	0	39293299	0	0.294399	179579680

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	65023374	65023374
2.0	1.475574	21598475	21598475
3.0	1.701744	5588125	5588125
4.0	1.809305	1307821	1307821
5.0	1.860458	298204	298204
6.0	1.884785	75356	75356
7.0	1.896354	25912	25912
8.0	1.901856	12927	12927
9.0	1.904473	8422	8422
10.0	1.905717	6047	6047
11.0	1.906309	4739	4739
12.0	1.906591	3713	3713
13.0	1.906724	3007	3007
14.0	1.906788	2548	2548
15.0	1.906818	2167	2167
16.0	1.906833	1706	1706
17.0	1.90684	1555	1555
18.0	1.906843	1324	1324
19.0	1.906844	1132	1132
20.0	1.906845	1038	1038
21.0	1.906846	866	866
22.0	1.906846	737	737
23.0	1.906846	658	658
24.0	1.906846	603	603
25.0	1.906846	525	525
26.0	1.906846	530	530
27.0	1.906846	406	406
28.0	1.906846	413	413
29.0	1.906846	308	308
30.0	1.906846	316	316
31.0	1.906846	278	278
32.0	1.906846	278	278
33.0	1.906846	245	245
34.0	1.906846	230	230
35.0	1.906846	206	206
36.0	1.906846	188	188
37.0	1.906846	162	162
38.0	1.906846	166	166
39.0	1.906846	139	139
40.0	1.906846	148	148
41.0	1.906846	126	126
42.0	1.906846	129	129
43.0	1.906846	111	111
44.0	1.906846	113	113
45.0	1.906846	107	107
46.0	1.906846	91	91
47.0	1.906846	91	91
48.0	1.906846	87	87
49.0	1.906846	71	71
50.0	1.906846	76	76
51.0	1.906846	82	82
52.0	1.906846	71	71
53.0	1.906846	58	58
54.0	1.906846	73	73
55.0	1.906846	46	46
56.0	1.906846	50	50
57.0	1.906846	52	52
58.0	1.906846	46	46
59.0	1.906846	42	42
60.0	1.906846	28	28
61.0	1.906846	39	39
62.0	1.906846	41	41
63.0	1.906846	39	39
64.0	1.906846	25	25
65.0	1.906846	34	34
66.0	1.906846	30	30
67.0	1.906846	27	27
68.0	1.906846	32	32
69.0	1.906846	30	30
70.0	1.906846	40	40
71.0	1.906846	15	15
72.0	1.906846	27	27
73.0	1.906846	16	16
74.0	1.906846	19	19
75.0	1.906846	23	23
76.0	1.906846	19	19
77.0	1.906846	15	15
78.0	1.906846	10	10
79.0	1.906846	12	12
80.0	1.906846	15	15
81.0	1.906846	11	11
82.0	1.906846	16	16
83.0	1.906846	15	15
84.0	1.906846	16	16
85.0	1.906846	11	11
86.0	1.906846	18	18
87.0	1.906846	11	11
88.0	1.906846	11	11
89.0	1.906846	10	10
90.0	1.906846	10	10
91.0	1.906846	13	13
92.0	1.906846	10	10
93.0	1.906846	13	13
94.0	1.906846	9	9
95.0	1.906846	4	4
96.0	1.906846	6	6
97.0	1.906846	7	7
98.0	1.906846	10	10
99.0	1.906846	5	5
100.0	1.906846	7	7
101.0	0	14	14
102.0	0	10	10
103.0	0	7	7
104.0	0	6	6
105.0	0	10	10
106.0	0	9	9
107.0	0	5	5
108.0	0	8	8
109.0	0	3	3
110.0	0	4	4
111.0	0	1	1
112.0	0	4	4
113.0	0	3	3
115.0	0	6	6
116.0	0	3	3
117.0	0	2	2
118.0	0	7	7
119.0	0	4	4
120.0	0	5	5
121.0	0	5	5
122.0	0	7	7
123.0	0	7	7
124.0	0	3	3
125.0	0	4	4
126.0	0	3	3
127.0	0	2	2
128.0	0	6	6
129.0	0	4	4
130.0	0	3	3
131.0	0	2	2
134.0	0	3	3
135.0	0	2	2
136.0	0	1	1
137.0	0	1	1
138.0	0	4	4
139.0	0	2	2
140.0	0	3	3
141.0	0	2	2
142.0	0	4	4
143.0	0	5	5
144.0	0	2	2
145.0	0	4	4
147.0	0	3	3
148.0	0	4	4
149.0	0	1	1
150.0	0	3	3
151.0	0	3	3
152.0	0	2	2
154.0	0	1	1
155.0	0	2	2
156.0	0	1	1
157.0	0	2	2
160.0	0	1	1
161.0	0	1	1
163.0	0	2	2
166.0	0	1	1
167.0	0	2	2
168.0	0	1	1
169.0	0	1	1
172.0	0	3	3
173.0	0	2	2
175.0	0	1	1
178.0	0	1	1
179.0	0	1	1
180.0	0	1	1
182.0	0	2	2
183.0	0	3	3
191.0	0	1	1
192.0	0	1	1
194.0	0	1	1
198.0	0	1	1
199.0	0	2	2
200.0	0	2	2
201.0	0	1	1
210.0	0	1	1
214.0	0	1	1
223.0	0	1	1
224.0	0	1	1
226.0	0	1	1
230.0	0	1	1
232.0	0	1	1
234.0	0	1	1
251.0	0	1	1
253.0	0	1	1
276.0	0	1	1
309.0	0	1	1
331.0	0	1	1
364.0	0	1	1

