## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601553.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601553_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601553_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	48480026	202878	0	0	9648541	0	0.199021	105034487

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	31122825	31122825
2.0	1.630298	6148397	6148397
3.0	2.027573	1169684	1169684
4.0	2.277975	228078	228078
5.0	2.435802	49484	49484
6.0	2.535281	14302	14302
7.0	2.597982	6169	6169
8.0	2.637502	3609	3609
9.0	2.662412	2426	2426
10.0	2.678112	1756	1756
11.0	2.688008	1264	1264
12.0	2.694245	1011	1011
13.0	2.698177	739	739
14.0	2.700655	579	579
15.0	2.702217	462	462
16.0	2.703201	408	408
17.0	2.703822	269	269
18.0	2.704213	233	233
19.0	2.704459	228	228
20.0	2.704615	185	185
21.0	2.704713	159	159
22.0	2.704774	159	159
23.0	2.704813	135	135
24.0	2.704838	111	111
25.0	2.704853	76	76
26.0	2.704863	83	83
27.0	2.704869	56	56
28.0	2.704873	53	53
29.0	2.704875	53	53
30.0	2.704877	57	57
31.0	2.704878	38	38
32.0	2.704878	40	40
33.0	2.704879	21	21
34.0	2.704879	22	22
35.0	2.704879	26	26
36.0	2.704879	28	28
37.0	2.704879	22	22
38.0	2.704879	23	23
39.0	2.704879	18	18
40.0	2.704879	15	15
41.0	2.704879	12	12
42.0	2.704879	6	6
43.0	2.704879	12	12
44.0	2.704879	13	13
45.0	2.704879	11	11
46.0	2.704879	7	7
47.0	2.704879	7	7
48.0	2.704879	9	9
49.0	2.704879	7	7
50.0	2.704879	6	6
51.0	2.704879	4	4
52.0	2.704879	4	4
53.0	2.704879	4	4
54.0	2.704879	5	5
55.0	2.704879	7	7
56.0	2.704879	4	4
57.0	2.704879	5	5
58.0	2.704879	4	4
59.0	2.704879	3	3
60.0	2.704879	4	4
61.0	2.704879	6	6
62.0	2.704879	2	2
63.0	2.704879	3	3
64.0	2.704879	5	5
65.0	2.704879	1	1
66.0	2.704879	0	0
67.0	2.704879	0	0
68.0	2.704879	6	6
69.0	2.704879	2	2
70.0	2.704879	4	4
71.0	2.704879	3	3
72.0	2.704879	3	3
73.0	2.704879	0	0
74.0	2.704879	1	1
75.0	2.704879	2	2
76.0	2.704879	2	2
77.0	2.704879	1	1
78.0	2.704879	2	2
79.0	2.704879	0	0
80.0	2.704879	0	0
81.0	2.704879	0	0
82.0	2.704879	1	1
83.0	2.704879	0	0
84.0	2.704879	0	0
85.0	2.704879	1	1
86.0	2.704879	0	0
87.0	2.704879	1	1
88.0	2.704879	0	0
89.0	2.704879	1	1
90.0	2.704879	0	0
91.0	2.704879	1	1
92.0	2.704879	0	0
93.0	2.704879	1	1
94.0	2.704879	0	0
95.0	2.704879	1	1
96.0	2.704879	1	1
97.0	2.704879	1	1
98.0	2.704879	1	1
99.0	2.704879	1	1
100.0	2.704879	0	0
109.0	0	1	1
111.0	0	1	1

