## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI574398.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI574398_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI574398_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:53 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	118325834	704608	0	0	36163576	0	0.305627	151713726

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	56096413	56096413
2.0	1.458439	19057619	19057619
3.0	1.668605	5039497	5039497
4.0	1.764953	1211016	1211016
5.0	1.809123	290926	290926
6.0	1.829372	82910	82910
7.0	1.838655	33445	33445
8.0	1.842911	18732	18732
9.0	1.844862	13081	13081
10.0	1.845756	9929	9929
11.0	1.846166	7751	7751
12.0	1.846354	6348	6348
13.0	1.846441	5209	5209
14.0	1.84648	4307	4307
15.0	1.846498	3681	3681
16.0	1.846507	3176	3176
17.0	1.84651	2689	2689
18.0	1.846512	2522	2522
19.0	1.846513	1982	1982
20.0	1.846513	1803	1803
21.0	1.846513	1616	1616
22.0	1.846514	1439	1439
23.0	1.846514	1276	1276
24.0	1.846514	1102	1102
25.0	1.846514	1093	1093
26.0	1.846514	967	967
27.0	1.846514	853	853
28.0	1.846514	783	783
29.0	1.846514	701	701
30.0	1.846514	602	602
31.0	1.846514	581	581
32.0	1.846514	499	499
33.0	1.846514	506	506
34.0	1.846514	492	492
35.0	1.846514	430	430
36.0	1.846514	409	409
37.0	1.846514	384	384
38.0	1.846514	299	299
39.0	1.846514	288	288
40.0	1.846514	331	331
41.0	1.846514	270	270
42.0	1.846514	253	253
43.0	1.846514	233	233
44.0	1.846514	202	202
45.0	1.846514	219	219
46.0	1.846514	245	245
47.0	1.846514	188	188
48.0	1.846514	153	153
49.0	1.846514	177	177
50.0	1.846514	164	164
51.0	1.846514	129	129
52.0	1.846514	137	137
53.0	1.846514	141	141
54.0	1.846514	104	104
55.0	1.846514	126	126
56.0	1.846514	85	85
57.0	1.846514	113	113
58.0	1.846514	116	116
59.0	1.846514	108	108
60.0	1.846514	89	89
61.0	1.846514	82	82
62.0	1.846514	75	75
63.0	1.846514	69	69
64.0	1.846514	83	83
65.0	1.846514	68	68
66.0	1.846514	67	67
67.0	1.846514	79	79
68.0	1.846514	55	55
69.0	1.846514	50	50
70.0	1.846514	61	61
71.0	1.846514	51	51
72.0	1.846514	41	41
73.0	1.846514	49	49
74.0	1.846514	46	46
75.0	1.846514	34	34
76.0	1.846514	51	51
77.0	1.846514	35	35
78.0	1.846514	48	48
79.0	1.846514	48	48
80.0	1.846514	50	50
81.0	1.846514	35	35
82.0	1.846514	38	38
83.0	1.846514	42	42
84.0	1.846514	40	40
85.0	1.846514	42	42
86.0	1.846514	28	28
87.0	1.846514	20	20
88.0	1.846514	26	26
89.0	1.846514	27	27
90.0	1.846514	30	30
91.0	1.846514	25	25
92.0	1.846514	22	22
93.0	1.846514	22	22
94.0	1.846514	17	17
95.0	1.846514	25	25
96.0	1.846514	17	17
97.0	1.846514	16	16
98.0	1.846514	28	28
99.0	1.846514	14	14
100.0	1.846514	27	27
101.0	0	20	20
102.0	0	23	23
103.0	0	14	14
104.0	0	12	12
105.0	0	11	11
106.0	0	15	15
107.0	0	10	10
108.0	0	21	21
109.0	0	10	10
110.0	0	17	17
111.0	0	12	12
112.0	0	19	19
113.0	0	6	6
114.0	0	10	10
115.0	0	13	13
116.0	0	9	9
117.0	0	15	15
118.0	0	8	8
119.0	0	6	6
120.0	0	11	11
121.0	0	9	9
122.0	0	12	12
123.0	0	11	11
124.0	0	5	5
125.0	0	6	6
126.0	0	10	10
127.0	0	7	7
128.0	0	7	7
129.0	0	6	6
130.0	0	5	5
131.0	0	3	3
132.0	0	9	9
133.0	0	5	5
134.0	0	5	5
135.0	0	9	9
136.0	0	10	10
137.0	0	6	6
138.0	0	9	9
139.0	0	7	7
140.0	0	2	2
141.0	0	5	5
142.0	0	10	10
143.0	0	4	4
144.0	0	3	3
145.0	0	5	5
146.0	0	6	6
148.0	0	7	7
149.0	0	3	3
150.0	0	3	3
151.0	0	5	5
152.0	0	5	5
153.0	0	3	3
154.0	0	5	5
155.0	0	4	4
156.0	0	8	8
157.0	0	2	2
158.0	0	2	2
159.0	0	5	5
160.0	0	3	3
161.0	0	5	5
162.0	0	1	1
163.0	0	1	1
164.0	0	5	5
165.0	0	5	5
166.0	0	2	2
168.0	0	4	4
169.0	0	4	4
171.0	0	4	4
172.0	0	2	2
173.0	0	5	5
174.0	0	2	2
175.0	0	2	2
176.0	0	4	4
177.0	0	3	3
178.0	0	1	1
179.0	0	4	4
180.0	0	1	1
181.0	0	2	2
182.0	0	3	3
183.0	0	5	5
184.0	0	5	5
185.0	0	5	5
189.0	0	1	1
190.0	0	3	3
191.0	0	3	3
192.0	0	1	1
193.0	0	4	4
194.0	0	1	1
195.0	0	1	1
196.0	0	3	3
197.0	0	3	3
200.0	0	1	1
201.0	0	2	2
202.0	0	2	2
203.0	0	1	1
204.0	0	1	1
205.0	0	1	1
206.0	0	2	2
208.0	0	2	2
209.0	0	1	1
210.0	0	3	3
211.0	0	2	2
212.0	0	2	2
213.0	0	1	1
214.0	0	1	1
215.0	0	2	2
216.0	0	1	1
217.0	0	1	1
218.0	0	1	1
219.0	0	2	2
220.0	0	1	1
221.0	0	1	1
222.0	0	1	1
223.0	0	1	1
224.0	0	1	1
225.0	0	1	1
226.0	0	1	1
227.0	0	2	2
228.0	0	1	1
229.0	0	1	1
230.0	0	1	1
231.0	0	2	2
234.0	0	1	1
235.0	0	4	4
236.0	0	2	2
237.0	0	2	2
238.0	0	1	1
242.0	0	2	2
243.0	0	1	1
245.0	0	1	1
246.0	0	2	2
249.0	0	3	3
251.0	0	1	1
252.0	0	2	2
253.0	0	1	1
254.0	0	1	1
256.0	0	1	1
261.0	0	2	2
267.0	0	1	1
269.0	0	1	1
274.0	0	1	1
279.0	0	2	2
280.0	0	1	1
283.0	0	1	1
286.0	0	1	1
295.0	0	1	1
298.0	0	1	1
317.0	0	1	1
358.0	0	1	1
360.0	0	1	1
362.0	0	1	1
384.0	0	1	1
386.0	0	1	1
399.0	0	1	1
405.0	0	1	1
458.0	0	1	1

