## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601744.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601744_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601744_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	56828174	254508	0	0	22384878	0	0.393905	51589272

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	20642273	20642273
2.0	1.332355	8360215	8360215
3.0	1.442816	3313055	3313055
4.0	1.479528	1271139	1271139
5.0	1.491729	473427	473427
6.0	1.495784	172370	172370
7.0	1.497132	62252	62252
8.0	1.49758	23093	23093
9.0	1.497729	9422	9422
10.0	1.497778	4385	4385
11.0	1.497795	2547	2547
12.0	1.4978	1728	1728
13.0	1.497802	1240	1240
14.0	1.497803	916	916
15.0	1.497803	721	721
16.0	1.497803	617	617
17.0	1.497803	506	506
18.0	1.497803	360	360
19.0	1.497803	348	348
20.0	1.497803	262	262
21.0	1.497803	255	255
22.0	1.497803	210	210
23.0	1.497803	171	171
24.0	1.497803	137	137
25.0	1.497803	132	132
26.0	1.497803	132	132
27.0	1.497803	102	102
28.0	1.497803	76	76
29.0	1.497803	73	73
30.0	1.497803	66	66
31.0	1.497803	56	56
32.0	1.497803	45	45
33.0	1.497803	40	40
34.0	1.497803	49	49
35.0	1.497803	54	54
36.0	1.497803	41	41
37.0	1.497803	40	40
38.0	1.497803	27	27
39.0	1.497803	31	31
40.0	1.497803	19	19
41.0	1.497803	24	24
42.0	1.497803	25	25
43.0	1.497803	20	20
44.0	1.497803	17	17
45.0	1.497803	11	11
46.0	1.497803	11	11
47.0	1.497803	10	10
48.0	1.497803	7	7
49.0	1.497803	14	14
50.0	1.497803	12	12
51.0	1.497803	13	13
52.0	1.497803	11	11
53.0	1.497803	8	8
54.0	1.497803	10	10
55.0	1.497803	7	7
56.0	1.497803	16	16
57.0	1.497803	6	6
58.0	1.497803	5	5
59.0	1.497803	5	5
60.0	1.497803	8	8
61.0	1.497803	3	3
62.0	1.497803	2	2
63.0	1.497803	4	4
64.0	1.497803	7	7
65.0	1.497803	2	2
66.0	1.497803	5	5
67.0	1.497803	1	1
68.0	1.497803	0	0
69.0	1.497803	6	6
70.0	1.497803	7	7
71.0	1.497803	2	2
72.0	1.497803	2	2
73.0	1.497803	5	5
74.0	1.497803	2	2
75.0	1.497803	1	1
76.0	1.497803	1	1
77.0	1.497803	3	3
78.0	1.497803	1	1
79.0	1.497803	2	2
80.0	1.497803	2	2
81.0	1.497803	1	1
82.0	1.497803	3	3
83.0	1.497803	0	0
84.0	1.497803	1	1
85.0	1.497803	0	0
86.0	1.497803	0	0
87.0	1.497803	1	1
88.0	1.497803	2	2
89.0	1.497803	0	0
90.0	1.497803	2	2
91.0	1.497803	1	1
92.0	1.497803	1	1
93.0	1.497803	2	2
94.0	1.497803	0	0
95.0	1.497803	0	0
96.0	1.497803	1	1
97.0	1.497803	1	1
98.0	1.497803	1	1
99.0	1.497803	2	2
100.0	1.497803	1	1
101.0	0	2	2
102.0	0	1	1
106.0	0	1	1
108.0	0	1	1
113.0	0	1	1
114.0	0	1	1
116.0	0	1	1
118.0	0	1	1
123.0	0	1	1
125.0	0	1	1

