## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI574407.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI574407_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI574407_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	103026661	681131	0	0	28206281	0	0.273777	151967758

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	53891787	53891787
2.0	1.507656	15857161	15857161
3.0	1.765371	3668109	3668109
4.0	1.896202	796025	796025
5.0	1.962619	184737	184737
6.0	1.996336	55648	55648
7.0	2.013452	25697	25697
8.0	2.022142	16023	16023
9.0	2.026553	11546	11546
10.0	2.028792	8910	8910
11.0	2.029929	6992	6992
12.0	2.030506	5623	5623
13.0	2.030799	4628	4628
14.0	2.030948	3927	3927
15.0	2.031023	3452	3452
16.0	2.031062	2870	2870
17.0	2.031081	2453	2453
18.0	2.031091	2110	2110
19.0	2.031096	1818	1818
20.0	2.031099	1677	1677
21.0	2.0311	1439	1439
22.0	2.0311	1245	1245
23.0	2.031101	1213	1213
24.0	2.031101	1043	1043
25.0	2.031101	928	928
26.0	2.031101	860	860
27.0	2.031101	735	735
28.0	2.031101	719	719
29.0	2.031101	616	616
30.0	2.031101	587	587
31.0	2.031101	496	496
32.0	2.031101	487	487
33.0	2.031101	438	438
34.0	2.031101	415	415
35.0	2.031101	398	398
36.0	2.031101	360	360
37.0	2.031101	329	329
38.0	2.031101	317	317
39.0	2.031101	285	285
40.0	2.031101	279	279
41.0	2.031101	256	256
42.0	2.031101	248	248
43.0	2.031101	218	218
44.0	2.031101	180	180
45.0	2.031101	183	183
46.0	2.031101	187	187
47.0	2.031101	174	174
48.0	2.031101	142	142
49.0	2.031101	141	141
50.0	2.031101	150	150
51.0	2.031101	131	131
52.0	2.031101	134	134
53.0	2.031101	121	121
54.0	2.031101	119	119
55.0	2.031101	98	98
56.0	2.031101	100	100
57.0	2.031101	103	103
58.0	2.031101	85	85
59.0	2.031101	73	73
60.0	2.031101	83	83
61.0	2.031101	97	97
62.0	2.031101	73	73
63.0	2.031101	78	78
64.0	2.031101	61	61
65.0	2.031101	66	66
66.0	2.031101	69	69
67.0	2.031101	64	64
68.0	2.031101	50	50
69.0	2.031101	65	65
70.0	2.031101	61	61
71.0	2.031101	49	49
72.0	2.031101	30	30
73.0	2.031101	40	40
74.0	2.031101	50	50
75.0	2.031101	41	41
76.0	2.031101	49	49
77.0	2.031101	34	34
78.0	2.031101	43	43
79.0	2.031101	24	24
80.0	2.031101	36	36
81.0	2.031101	44	44
82.0	2.031101	33	33
83.0	2.031101	31	31
84.0	2.031101	25	25
85.0	2.031101	31	31
86.0	2.031101	46	46
87.0	2.031101	22	22
88.0	2.031101	21	21
89.0	2.031101	28	28
90.0	2.031101	21	21
91.0	2.031101	21	21
92.0	2.031101	19	19
93.0	2.031101	21	21
94.0	2.031101	19	19
95.0	2.031101	21	21
96.0	2.031101	17	17
97.0	2.031101	18	18
98.0	2.031101	22	22
99.0	2.031101	20	20
100.0	2.031101	20	20
101.0	0	14	14
102.0	0	18	18
103.0	0	11	11
104.0	0	12	12
105.0	0	11	11
106.0	0	19	19
107.0	0	6	6
