## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI574406.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI574406_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI574406_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:53 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	66027245	227724	0	0	19756770	0	0.299221	87004847

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	32239875	32239875
2.0	1.468185	9877829	9877829
3.0	1.687382	2897169	2897169
4.0	1.790007	822359	822359
5.0	1.838055	229916	229916
6.0	1.86055	64983	64983
7.0	1.871082	20412	20412
8.0	1.876013	7675	7675
9.0	1.878321	3900	3900
10.0	1.879402	2439	2439
11.0	1.879908	1692	1692
12.0	1.880145	1315	1315
13.0	1.880256	960	960
14.0	1.880308	792	792
15.0	1.880332	612	612
16.0	1.880343	531	531
17.0	1.880349	378	378
18.0	1.880351	376	376
19.0	1.880352	300	300
20.0	1.880353	208	208
21.0	1.880353	186	186
22.0	1.880353	164	164
23.0	1.880353	154	154
24.0	1.880353	150	150
25.0	1.880353	114	114
26.0	1.880353	91	91
27.0	1.880353	71	71
28.0	1.880353	60	60
29.0	1.880353	76	76
30.0	1.880353	71	71
31.0	1.880353	53	53
32.0	1.880353	36	36
33.0	1.880353	47	47
34.0	1.880353	30	30
35.0	1.880353	32	32
36.0	1.880353	36	36
37.0	1.880353	27	27
38.0	1.880353	27	27
39.0	1.880353	22	22
40.0	1.880353	27	27
41.0	1.880353	13	13
42.0	1.880353	16	16
43.0	1.880353	15	15
44.0	1.880353	13	13
45.0	1.880353	8	8
46.0	1.880353	8	8
47.0	1.880353	10	10
48.0	1.880353	11	11
49.0	1.880353	7	7
50.0	1.880353	5	5
51.0	1.880353	14	14
52.0	1.880353	8	8
53.0	1.880353	8	8
54.0	1.880353	5	5
55.0	1.880353	12	12
56.0	1.880353	4	4
57.0	1.880353	2	2
58.0	1.880353	5	5
59.0	1.880353	4	4
60.0	1.880353	4	4
61.0	1.880353	1	1
62.0	1.880353	0	0
63.0	1.880353	5	5
64.0	1.880353	5	5
65.0	1.880353	6	6
66.0	1.880353	3	3
67.0	1.880353	3	3
68.0	1.880353	1	1
69.0	1.880353	7	7
70.0	1.880353	2	2
71.0	1.880353	2	2
72.0	1.880353	2	2
73.0	1.880353	2	2
74.0	1.880353	2	2
75.0	1.880353	4	4
76.0	1.880353	2	2
77.0	1.880353	0	0
78.0	1.880353	3	3
79.0	1.880353	2	2
80.0	1.880353	1	1
81.0	1.880353	1	1
82.0	1.880353	1	1
83.0	1.880353	1	1
84.0	1.880353	2	2
85.0	1.880353	0	0
86.0	1.880353	2	2
87.0	1.880353	2	2
88.0	1.880353	0	0
89.0	1.880353	0	0
90.0	1.880353	1	1
91.0	1.880353	1	1
92.0	1.880353	0	0
93.0	1.880353	1	1
94.0	1.880353	1	1
95.0	1.880353	2	2
96.0	1.880353	0	0
97.0	1.880353	0	0
98.0	1.880353	0	0
99.0	1.880353	0	0
100.0	1.880353	1	1
107.0	0	2	2
113.0	0	1	1
114.0	0	1	1
115.0	0	1	1
120.0	0	1	1
144.0	0	1	1

