## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI594354.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI594354_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI594354_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	135188281	629165	0	0	41552133	0	0.307365	172064569

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	63531380	63531380
2.0	1.455808	22013318	22013318
3.0	1.663569	5880987	5880987
4.0	1.758268	1420226	1420226
5.0	1.801433	340137	340137
6.0	1.821108	92419	92419
7.0	1.830076	34899	34899
8.0	1.834163	18496	18496
9.0	1.836026	12307	12307
10.0	1.836876	9198	9198
11.0	1.837263	7245	7245
12.0	1.837439	5869	5869
13.0	1.83752	4815	4815
14.0	1.837556	3936	3936
15.0	1.837573	3386	3386
16.0	1.837581	2941	2941
17.0	1.837584	2473	2473
18.0	1.837586	2203	2203
19.0	1.837586	1946	1946
20.0	1.837587	1684	1684
21.0	1.837587	1512	1512
22.0	1.837587	1236	1236
23.0	1.837587	1154	1154
24.0	1.837587	999	999
25.0	1.837587	952	952
26.0	1.837587	824	824
27.0	1.837587	770	770
28.0	1.837587	687	687
29.0	1.837587	585	585
30.0	1.837587	594	594
31.0	1.837587	530	530
32.0	1.837587	483	483
33.0	1.837587	445	445
34.0	1.837587	418	418
35.0	1.837587	421	421
36.0	1.837587	367	367
37.0	1.837587	349	349
38.0	1.837587	329	329
39.0	1.837587	273	273
40.0	1.837587	270	270
41.0	1.837587	240	240
42.0	1.837587	233	233
43.0	1.837587	212	212
44.0	1.837587	190	190
45.0	1.837587	176	176
46.0	1.837587	184	184
47.0	1.837587	166	166
48.0	1.837587	163	163
49.0	1.837587	174	174
50.0	1.837587	146	146
51.0	1.837587	118	118
52.0	1.837587	118	118
53.0	1.837587	108	108
54.0	1.837587	122	122
55.0	1.837587	124	124
56.0	1.837587	104	104
57.0	1.837587	100	100
58.0	1.837587	89	89
59.0	1.837587	75	75
60.0	1.837587	89	89
61.0	1.837587	89	89
62.0	1.837587	78	78
63.0	1.837587	70	70
64.0	1.837587	57	57
65.0	1.837587	65	65
66.0	1.837587	54	54
67.0	1.837587	68	68
68.0	1.837587	59	59
69.0	1.837587	55	55
70.0	1.837587	50	50
71.0	1.837587	39	39
72.0	1.837587	43	43
73.0	1.837587	39	39
74.0	1.837587	46	46
75.0	1.837587	43	43
76.0	1.837587	34	34
77.0	1.837587	35	35
78.0	1.837587	44	44
79.0	1.837587	35	35
80.0	1.837587	31	31
81.0	1.837587	28	28
82.0	1.837587	31	31
83.0	1.837587	35	35
84.0	1.837587	35	35
85.0	1.837587	24	24
86.0	1.837587	29	29
87.0	1.837587	16	16
88.0	1.837587	28	28
89.0	1.837587	19	19
90.0	1.837587	26	26
91.0	1.837587	34	34
92.0	1.837587	20	20
93.0	1.837587	18	18
94.0	1.837587	26	26
