## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601552.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601552_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601552_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	116637593	606562	0	0	33412331	0	0.286463	162494462

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	58207804	58207804
2.0	1.487827	18610989	18610989
3.0	1.725802	4705954	4705954
4.0	1.841893	1084615	1084615
5.0	1.898525	244423	244423
6.0	1.926152	61847	61847
7.0	1.939629	21609	21609
8.0	1.946204	11187	11187
9.0	1.949411	7074	7074
10.0	1.950975	5353	5353
11.0	1.951739	4112	4112
12.0	1.952111	3255	3255
13.0	1.952293	2626	2626
14.0	1.952381	2163	2163
15.0	1.952424	1792	1792
16.0	1.952446	1530	1530
17.0	1.952456	1269	1269
18.0	1.952461	1063	1063
19.0	1.952463	958	958
20.0	1.952464	818	818
21.0	1.952465	724	724
22.0	1.952465	617	617
23.0	1.952465	589	589
24.0	1.952466	507	507
25.0	1.952466	446	446
26.0	1.952466	361	361
27.0	1.952466	384	384
28.0	1.952466	331	331
29.0	1.952466	283	283
30.0	1.952466	283	283
31.0	1.952466	237	237
32.0	1.952466	225	225
33.0	1.952466	196	196
34.0	1.952466	152	152
35.0	1.952466	179	179
36.0	1.952466	153	153
37.0	1.952466	120	120
38.0	1.952466	171	171
39.0	1.952466	109	109
40.0	1.952466	127	127
41.0	1.952466	97	97
42.0	1.952466	85	85
43.0	1.952466	89	89
44.0	1.952466	90	90
45.0	1.952466	69	69
46.0	1.952466	58	58
47.0	1.952466	61	61
48.0	1.952466	56	56
49.0	1.952466	61	61
50.0	1.952466	53	53
51.0	1.952466	46	46
52.0	1.952466	51	51
53.0	1.952466	47	47
54.0	1.952466	46	46
55.0	1.952466	44	44
56.0	1.952466	36	36
57.0	1.952466	36	36
58.0	1.952466	42	42
59.0	1.952466	32	32
60.0	1.952466	34	34
61.0	1.952466	20	20
62.0	1.952466	33	33
63.0	1.952466	25	25
64.0	1.952466	20	20
65.0	1.952466	19	19
66.0	1.952466	23	23
67.0	1.952466	21	21
68.0	1.952466	22	22
69.0	1.952466	24	24
70.0	1.952466	21	21
71.0	1.952466	21	21
72.0	1.952466	13	13
73.0	1.952466	10	10
74.0	1.952466	17	17
75.0	1.952466	13	13
76.0	1.952466	12	12
77.0	1.952466	14	14
78.0	1.952466	11	11
79.0	1.952466	14	14
80.0	1.952466	16	16
81.0	1.952466	9	9
82.0	1.952466	13	13
83.0	1.952466	11	11
84.0	1.952466	8	8
85.0	1.952466	10	10
86.0	1.952466	15	15
87.0	1.952466	9	9
88.0	1.952466	8	8
89.0	1.952466	13	13
90.0	1.952466	10	10
91.0	1.952466	12	12
92.0	1.952466	7	7
93.0	1.952466	4	4
94.0	1.952466	5	5
95.0	1.952466	6	6
96.0	1.952466	6	6
97.0	1.952466	11	11
98.0	1.952466	3	3
99.0	1.952466	9	9
100.0	1.952466	3	3
101.0	0	6	6
102.0	0	7	7
103.0	0	7	7
104.0	0	2	2
105.0	0	8	8
106.0	0	5	5
107.0	0	7	7
108.0	0	5	5
109.0	0	3	3
110.0	0	3	3
111.0	0	3	3
112.0	0	5	5
113.0	0	1	1
114.0	0	3	3
115.0	0	5	5
116.0	0	3	3
117.0	0	2	2
118.0	0	5	5
119.0	0	6	6
120.0	0	1	1
122.0	0	5	5
124.0	0	3	3
125.0	0	4	4
126.0	0	3	3
127.0	0	4	4
128.0	0	2	2
131.0	0	1	1
132.0	0	3	3
133.0	0	2	2
134.0	0	1	1
135.0	0	4	4
137.0	0	3	3
138.0	0	2	2
139.0	0	1	1
140.0	0	2	2
141.0	0	2	2
142.0	0	1	1
143.0	0	1	1
145.0	0	1	1
146.0	0	2	2
147.0	0	1	1
148.0	0	2	2
149.0	0	1	1
150.0	0	1	1
152.0	0	1	1
153.0	0	1	1
154.0	0	2	2
155.0	0	3	3
156.0	0	2	2
158.0	0	2	2
160.0	0	2	2
163.0	0	1	1
166.0	0	1	1
170.0	0	1	1
171.0	0	2	2
172.0	0	1	1
175.0	0	2	2
176.0	0	2	2
178.0	0	1	1
180.0	0	1	1
183.0	0	1	1
190.0	0	1	1
219.0	0	1	1
231.0	0	1	1
240.0	0	1	1
245.0	0	1	1
250.0	0	1	1
251.0	0	1	1
291.0	0	1	1

