## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI543243.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI543243_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI543243_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:25 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	124708389	553522	0	0	36311412	0	0.291171	170172261

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	61198106	61198106
2.0	1.480544	20186993	20186993
3.0	1.711467	5185815	5185815
4.0	1.822435	1205304	1205304
5.0	1.875761	273839	273839
6.0	1.901386	67893	67893
7.0	1.9137	22090	22090
8.0	1.919617	10217	10217
9.0	1.922461	6402	6402
10.0	1.923827	4474	4474
11.0	1.924484	3216	3216
12.0	1.924799	2644	2644
13.0	1.924951	2033	2033
14.0	1.925024	1737	1737
15.0	1.925059	1423	1423
16.0	1.925076	1133	1133
17.0	1.925084	1006	1006
18.0	1.925088	876	876
19.0	1.92509	763	763
20.0	1.925091	620	620
21.0	1.925091	532	532
22.0	1.925091	469	469
23.0	1.925091	434	434
24.0	1.925091	381	381
25.0	1.925091	337	337
26.0	1.925091	307	307
27.0	1.925091	266	266
28.0	1.925091	277	277
29.0	1.925091	224	224
30.0	1.925091	187	187
31.0	1.925091	157	157
32.0	1.925091	176	176
33.0	1.925091	153	153
34.0	1.925091	128	128
35.0	1.925091	124	124
36.0	1.925091	119	119
37.0	1.925091	103	103
38.0	1.925091	109	109
39.0	1.925091	86	86
40.0	1.925091	88	88
41.0	1.925091	61	61
42.0	1.925091	76	76
43.0	1.925091	66	66
44.0	1.925091	57	57
45.0	1.925091	64	64
46.0	1.925091	56	56
47.0	1.925091	65	65
48.0	1.925091	65	65
49.0	1.925091	44	44
50.0	1.925091	33	33
51.0	1.925091	34	34
52.0	1.925091	27	27
53.0	1.925091	35	35
54.0	1.925091	36	36
55.0	1.925091	27	27
56.0	1.925091	28	28
57.0	1.925091	23	23
58.0	1.925091	19	19
59.0	1.925091	23	23
60.0	1.925091	18	18
61.0	1.925091	25	25
62.0	1.925091	18	18
63.0	1.925091	19	19
64.0	1.925091	16	16
65.0	1.925091	19	19
66.0	1.925091	13	13
67.0	1.925091	20	20
68.0	1.925091	20	20
69.0	1.925091	15	15
70.0	1.925091	19	19
71.0	1.925091	14	14
72.0	1.925091	10	10
73.0	1.925091	12	12
74.0	1.925091	6	6
75.0	1.925091	12	12
76.0	1.925091	7	7
77.0	1.925091	12	12
78.0	1.925091	5	5
79.0	1.925091	7	7
80.0	1.925091	7	7
81.0	1.925091	10	10
82.0	1.925091	10	10
83.0	1.925091	11	11
84.0	1.925091	6	6
85.0	1.925091	5	5
86.0	1.925091	4	4
87.0	1.925091	4	4
88.0	1.925091	3	3
89.0	1.925091	4	4
90.0	1.925091	7	7
91.0	1.925091	5	5
92.0	1.925091	4	4
93.0	1.925091	6	6
94.0	1.925091	2	2
95.0	1.925091	2	2
96.0	1.925091	3	3
97.0	1.925091	4	4
98.0	1.925091	6	6
99.0	1.925091	3	3
100.0	1.925091	1	1
101.0	0	4	4
102.0	0	3	3
103.0	0	3	3
104.0	0	2	2
105.0	0	5	5
106.0	0	1	1
107.0	0	2	2
108.0	0	6	6
109.0	0	1	1
110.0	0	3	3
111.0	0	4	4
112.0	0	3	3
113.0	0	1	1
114.0	0	5	5
115.0	0	2	2
116.0	0	2	2
117.0	0	6	6
118.0	0	4	4
119.0	0	2	2
120.0	0	1	1
121.0	0	3	3
122.0	0	2	2
123.0	0	2	2
125.0	0	1	1
126.0	0	1	1
127.0	0	1	1
129.0	0	4	4
130.0	0	3	3
131.0	0	1	1
132.0	0	1	1
134.0	0	1	1
135.0	0	1	1
136.0	0	1	1
137.0	0	1	1
138.0	0	3	3
140.0	0	2	2
142.0	0	1	1
143.0	0	1	1
148.0	0	2	2
152.0	0	1	1
154.0	0	1	1
155.0	0	2	2
158.0	0	1	1
163.0	0	1	1
177.0	0	1	1
192.0	0	2	2
193.0	0	1	1
204.0	0	1	1
205.0	0	1	1
211.0	0	1	1
213.0	0	2	2
230.0	0	1	1
286.0	0	1	1
308.0	0	1	1

