## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI596567.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI596567_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI596567_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	98528944	393685	0	0	38605161	0	0.391815	90131853

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35860506	35860506
2.0	1.335154	14701748	14701748
3.0	1.447483	5772166	5772166
4.0	1.48513	2174306	2174306
5.0	1.497748	790829	790829
6.0	1.501976	282236	282236
7.0	1.503394	99052	99052
8.0	1.503869	35894	35894
9.0	1.504028	14037	14037
10.0	1.504081	6292	6292
11.0	1.504099	3380	3380
12.0	1.504105	2290	2290
13.0	1.504107	1617	1617
14.0	1.504108	1194	1194
15.0	1.504108	957	957
16.0	1.504108	842	842
17.0	1.504108	676	676
18.0	1.504108	540	540
19.0	1.504108	475	475
20.0	1.504108	406	406
21.0	1.504108	338	338
22.0	1.504108	291	291
23.0	1.504108	244	244
24.0	1.504108	195	195
25.0	1.504108	170	170
26.0	1.504108	149	149
27.0	1.504108	140	140
28.0	1.504108	118	118
29.0	1.504108	100	100
30.0	1.504108	94	94
31.0	1.504108	99	99
32.0	1.504108	75	75
33.0	1.504108	66	66
34.0	1.504108	66	66
35.0	1.504108	52	52
36.0	1.504108	52	52
37.0	1.504108	47	47
38.0	1.504108	45	45
39.0	1.504108	46	46
40.0	1.504108	37	37
41.0	1.504108	37	37
42.0	1.504108	31	31
43.0	1.504108	30	30
44.0	1.504108	21	21
45.0	1.504108	19	19
46.0	1.504108	27	27
47.0	1.504108	21	21
48.0	1.504108	20	20
49.0	1.504108	16	16
50.0	1.504108	18	18
51.0	1.504108	10	10
52.0	1.504108	12	12
53.0	1.504108	12	12
54.0	1.504108	18	18
55.0	1.504108	12	12
56.0	1.504108	8	8
57.0	1.504108	11	11
58.0	1.504108	10	10
59.0	1.504108	11	11
60.0	1.504108	4	4
61.0	1.504108	7	7
62.0	1.504108	13	13
63.0	1.504108	6	6
64.0	1.504108	6	6
65.0	1.504108	3	3
66.0	1.504108	7	7
67.0	1.504108	6	6
68.0	1.504108	4	4
69.0	1.504108	7	7
70.0	1.504108	5	5
71.0	1.504108	3	3
72.0	1.504108	4	4
73.0	1.504108	1	1
74.0	1.504108	3	3
75.0	1.504108	4	4
76.0	1.504108	2	2
77.0	1.504108	2	2
78.0	1.504108	4	4
79.0	1.504108	2	2
80.0	1.504108	1	1
81.0	1.504108	5	5
82.0	1.504108	6	6
83.0	1.504108	1	1
84.0	1.504108	2	2
85.0	1.504108	2	2
86.0	1.504108	2	2
87.0	1.504108	3	3
88.0	1.504108	0	0
89.0	1.504108	1	1
90.0	1.504108	2	2
91.0	1.504108	1	1
92.0	1.504108	2	2
93.0	1.504108	3	3
94.0	1.504108	0	0
95.0	1.504108	3	3
96.0	1.504108	1	1
97.0	1.504108	0	0
98.0	1.504108	2	2
99.0	1.504108	1	1
100.0	1.504108	0	0
101.0	0	4	4
102.0	0	1	1
104.0	0	1	1
107.0	0	2	2
108.0	0	1	1
109.0	0	1	1
110.0	0	1	1
115.0	0	2	2
120.0	0	1	1
121.0	0	2	2
122.0	0	1	1
135.0	0	1	1
136.0	0	1	1
139.0	0	1	1
141.0	0	1	1
149.0	0	1	1
232.0	0	1	1

