## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601557.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601557_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601557_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	110870318	465419	0	0	30198388	0	0.272376	164590809

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	57644442	57644442
2.0	1.509864	17534040	17534040
3.0	1.769825	4125183	4125183
4.0	1.902369	887561	887561
5.0	1.969949	192441	192441
6.0	2.004406	48894	48894
7.0	2.021974	18573	18573
8.0	2.030931	9651	9651
9.0	2.035498	6468	6468
10.0	2.037827	4755	4755
11.0	2.039014	3623	3623
12.0	2.039619	2901	2901
13.0	2.039928	2342	2342
14.0	2.040085	1958	1958
15.0	2.040165	1555	1555
16.0	2.040206	1327	1327
17.0	2.040227	1204	1204
18.0	2.040238	975	975
19.0	2.040243	806	806
20.0	2.040246	736	736
21.0	2.040247	647	647
22.0	2.040248	551	551
23.0	2.040248	512	512
24.0	2.040249	434	434
25.0	2.040249	411	411
26.0	2.040249	363	363
27.0	2.040249	290	290
28.0	2.040249	300	300
29.0	2.040249	244	244
30.0	2.040249	202	202
31.0	2.040249	191	191
32.0	2.040249	190	190
33.0	2.040249	168	168
34.0	2.040249	179	179
35.0	2.040249	110	110
36.0	2.040249	124	124
37.0	2.040249	116	116
38.0	2.040249	118	118
39.0	2.040249	112	112
40.0	2.040249	92	92
41.0	2.040249	98	98
42.0	2.040249	86	86
43.0	2.040249	81	81
44.0	2.040249	64	64
45.0	2.040249	65	65
46.0	2.040249	76	76
47.0	2.040249	66	66
48.0	2.040249	52	52
49.0	2.040249	60	60
50.0	2.040249	59	59
51.0	2.040249	55	55
52.0	2.040249	50	50
53.0	2.040249	37	37
54.0	2.040249	34	34
55.0	2.040249	28	28
56.0	2.040249	23	23
57.0	2.040249	29	29
58.0	2.040249	27	27
59.0	2.040249	17	17
60.0	2.040249	22	22
61.0	2.040249	24	24
62.0	2.040249	32	32
63.0	2.040249	20	20
64.0	2.040249	18	18
65.0	2.040249	7	7
66.0	2.040249	25	25
67.0	2.040249	19	19
68.0	2.040249	19	19
69.0	2.040249	14	14
70.0	2.040249	14	14
71.0	2.040249	13	13
72.0	2.040249	14	14
73.0	2.040249	15	15
74.0	2.040249	8	8
75.0	2.040249	15	15
76.0	2.040249	9	9
77.0	2.040249	7	7
78.0	2.040249	11	11
79.0	2.040249	9	9
80.0	2.040249	11	11
81.0	2.040249	6	6
82.0	2.040249	4	4
83.0	2.040249	7	7
84.0	2.040249	12	12
85.0	2.040249	9	9
86.0	2.040249	2	2
87.0	2.040249	7	7
88.0	2.040249	6	6
89.0	2.040249	5	5
90.0	2.040249	9	9
91.0	2.040249	8	8
92.0	2.040249	8	8
93.0	2.040249	4	4
94.0	2.040249	7	7
95.0	2.040249	6	6
