## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601721.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601721_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601721_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	75057453	256804	0	0	18487787	0	0.246315	126152285

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	42564359	42564359
2.0	1.551576	10568253	10568253
3.0	1.855813	2514074	2514074
4.0	2.023623	593597	593597
5.0	2.116182	143703	143703
6.0	2.167236	38594	38594
7.0	2.195396	12843	12843
8.0	2.210929	6072	6072
9.0	2.219496	3628	3628
10.0	2.224222	2513	2513
11.0	2.226828	1939	1939
12.0	2.228266	1497	1497
13.0	2.229059	1056	1056
14.0	2.229496	894	894
15.0	2.229737	696	696
16.0	2.22987	594	594
17.0	2.229944	464	464
18.0	2.229984	412	412
19.0	2.230007	339	339
20.0	2.230019	245	245
21.0	2.230026	263	263
22.0	2.23003	181	181
23.0	2.230032	182	182
24.0	2.230033	152	152
25.0	2.230033	129	129
26.0	2.230034	134	134
27.0	2.230034	109	109
28.0	2.230034	95	95
29.0	2.230034	92	92
30.0	2.230034	81	81
31.0	2.230034	60	60
32.0	2.230034	61	61
33.0	2.230034	43	43
34.0	2.230034	58	58
35.0	2.230034	41	41
36.0	2.230034	28	28
37.0	2.230034	37	37
38.0	2.230034	37	37
39.0	2.230034	27	27
40.0	2.230034	31	31
41.0	2.230034	29	29
42.0	2.230034	18	18
43.0	2.230034	26	26
44.0	2.230034	16	16
45.0	2.230034	24	24
46.0	2.230034	12	12
47.0	2.230034	12	12
48.0	2.230034	17	17
49.0	2.230034	12	12
50.0	2.230034	11	11
51.0	2.230034	12	12
52.0	2.230034	8	8
53.0	2.230034	10	10
54.0	2.230034	10	10
55.0	2.230034	7	7
56.0	2.230034	10	10
57.0	2.230034	5	5
58.0	2.230034	3	3
59.0	2.230034	5	5
60.0	2.230034	5	5
61.0	2.230034	6	6
62.0	2.230034	4	4
63.0	2.230034	4	4
64.0	2.230034	3	3
65.0	2.230034	3	3
66.0	2.230034	4	4
67.0	2.230034	7	7
68.0	2.230034	5	5
69.0	2.230034	5	5
70.0	2.230034	2	2
71.0	2.230034	0	0
72.0	2.230034	1	1
73.0	2.230034	3	3
74.0	2.230034	3	3
75.0	2.230034	2	2
76.0	2.230034	3	3
77.0	2.230034	2	2
78.0	2.230034	2	2
79.0	2.230034	2	2
80.0	2.230034	2	2
81.0	2.230034	2	2
82.0	2.230034	2	2
83.0	2.230034	2	2
84.0	2.230034	2	2
85.0	2.230034	2	2
86.0	2.230034	0	0
87.0	2.230034	1	1
88.0	2.230034	1	1
89.0	2.230034	2	2
90.0	2.230034	3	3
91.0	2.230034	1	1
92.0	2.230034	3	3
93.0	2.230034	1	1
94.0	2.230034	1	1
95.0	2.230034	0	0
96.0	2.230034	1	1
97.0	2.230034	1	1
98.0	2.230034	0	0
99.0	2.230034	0	0
100.0	2.230034	1	1
102.0	0	1	1
103.0	0	1	1
105.0	0	2	2
109.0	0	1	1
110.0	0	1	1
111.0	0	1	1
115.0	0	1	1
119.0	0	1	1
130.0	0	1	1
133.0	0	1	1
144.0	0	1	1
152.0	0	1	1
171.0	0	1	1

