## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI562622.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI562622_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI562622_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:45 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	125847612	488828	0	0	36766176	0	0.292148	170993665

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	62014752	62014752
2.0	1.479037	20054381	20054381
3.0	1.708513	5141971	5141971
4.0	1.81844	1211351	1211351
5.0	1.871099	282045	282045
6.0	1.896325	74978	74978
7.0	1.908409	27894	27894
8.0	1.914198	15153	15153
9.0	1.916971	10172	10172
10.0	1.918299	7543	7543
11.0	1.918936	5846	5846
12.0	1.91924	4632	4632
13.0	1.919386	3896	3896
14.0	1.919456	3197	3197
15.0	1.91949	2679	2679
16.0	1.919506	2305	2305
17.0	1.919514	1889	1889
18.0	1.919517	1652	1652
19.0	1.919519	1492	1492
20.0	1.91952	1258	1258
21.0	1.91952	1165	1165
22.0	1.919521	966	966
23.0	1.919521	885	885
24.0	1.919521	787	787
25.0	1.919521	770	770
26.0	1.919521	650	650
27.0	1.919521	588	588
28.0	1.919521	562	562
29.0	1.919521	463	463
30.0	1.919521	412	412
31.0	1.919521	402	402
32.0	1.919521	332	332
33.0	1.919521	294	294
34.0	1.919521	297	297
35.0	1.919521	294	294
36.0	1.919521	249	249
37.0	1.919521	231	231
38.0	1.919521	225	225
39.0	1.919521	217	217
40.0	1.919521	180	180
41.0	1.919521	168	168
42.0	1.919521	148	148
43.0	1.919521	165	165
44.0	1.919521	138	138
45.0	1.919521	131	131
46.0	1.919521	121	121
47.0	1.919521	129	129
48.0	1.919521	98	98
49.0	1.919521	104	104
50.0	1.919521	89	89
51.0	1.919521	105	105
52.0	1.919521	87	87
53.0	1.919521	86	86
54.0	1.919521	81	81
55.0	1.919521	66	66
56.0	1.919521	72	72
57.0	1.919521	76	76
58.0	1.919521	75	75
59.0	1.919521	64	64
60.0	1.919521	62	62
61.0	1.919521	68	68
62.0	1.919521	42	42
63.0	1.919521	50	50
64.0	1.919521	40	40
65.0	1.919521	43	43
66.0	1.919521	48	48
67.0	1.919521	48	48
68.0	1.919521	33	33
69.0	1.919521	41	41
70.0	1.919521	26	26
71.0	1.919521	33	33
72.0	1.919521	21	21
73.0	1.919521	28	28
74.0	1.919521	33	33
75.0	1.919521	28	28
76.0	1.919521	29	29
77.0	1.919521	26	26
78.0	1.919521	22	22
79.0	1.919521	19	19
80.0	1.919521	34	34
81.0	1.919521	20	20
82.0	1.919521	19	19
83.0	1.919521	23	23
84.0	1.919521	14	14
85.0	1.919521	23	23
86.0	1.919521	14	14
87.0	1.919521	20	20
88.0	1.919521	17	17
89.0	1.919521	12	12
90.0	1.919521	18	18
91.0	1.919521	13	13
92.0	1.919521	15	15
93.0	1.919521	10	10
94.0	1.919521	10	10
