## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601556.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601556_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601556_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	102334548	480770	0	0	41522912	0	0.405757	88991232

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35788354	35788354
2.0	1.316656	14827559	14827559
3.0	1.416927	6085179	6085179
4.0	1.448678	2418336	2418336
5.0	1.458732	931040	931040
6.0	1.461916	348009	348009
7.0	1.462924	128902	128902
8.0	1.463244	48806	48806
9.0	1.463345	20067	20067
10.0	1.463377	9502	9502
11.0	1.463387	5467	5467
12.0	1.46339	3793	3793
13.0	1.463391	2741	2741
14.0	1.463391	2159	2159
15.0	1.463391	1559	1559
16.0	1.463391	1364	1364
17.0	1.463392	1135	1135
18.0	1.463392	963	963
19.0	1.463392	828	828
20.0	1.463392	702	702
21.0	1.463392	590	590
22.0	1.463392	556	556
23.0	1.463392	445	445
24.0	1.463392	424	424
25.0	1.463392	353	353
26.0	1.463392	307	307
27.0	1.463392	274	274
28.0	1.463392	232	232
29.0	1.463392	201	201
30.0	1.463392	202	202
31.0	1.463392	156	156
32.0	1.463392	131	131
33.0	1.463392	128	128
34.0	1.463392	128	128
35.0	1.463392	103	103
36.0	1.463392	103	103
37.0	1.463392	102	102
38.0	1.463392	108	108
39.0	1.463392	66	66
40.0	1.463392	71	71
41.0	1.463392	64	64
42.0	1.463392	65	65
43.0	1.463392	57	57
44.0	1.463392	43	43
45.0	1.463392	41	41
46.0	1.463392	38	38
47.0	1.463392	45	45
48.0	1.463392	50	50
49.0	1.463392	41	41
50.0	1.463392	40	40
51.0	1.463392	25	25
52.0	1.463392	40	40
53.0	1.463392	30	30
54.0	1.463392	27	27
55.0	1.463392	32	32
56.0	1.463392	16	16
57.0	1.463392	27	27
58.0	1.463392	12	12
59.0	1.463392	15	15
60.0	1.463392	21	21
61.0	1.463392	18	18
62.0	1.463392	12	12
63.0	1.463392	13	13
64.0	1.463392	10	10
65.0	1.463392	11	11
66.0	1.463392	10	10
67.0	1.463392	6	6
68.0	1.463392	21	21
69.0	1.463392	8	8
70.0	1.463392	8	8
71.0	1.463392	11	11
72.0	1.463392	4	4
73.0	1.463392	5	5
74.0	1.463392	10	10
75.0	1.463392	5	5
76.0	1.463392	6	6
77.0	1.463392	7	7
78.0	1.463392	5	5
79.0	1.463392	9	9
80.0	1.463392	2	2
81.0	1.463392	4	4
82.0	1.463392	6	6
83.0	1.463392	7	7
84.0	1.463392	6	6
85.0	1.463392	8	8
86.0	1.463392	8	8
87.0	1.463392	2	2
88.0	1.463392	5	5
89.0	1.463392	7	7
90.0	1.463392	2	2
91.0	1.463392	3	3
92.0	1.463392	5	5
93.0	1.463392	2	2
94.0	1.463392	5	5
95.0	1.463392	2	2
96.0	1.463392	4	4
97.0	1.463392	4	4
98.0	1.463392	4	4
99.0	1.463392	5	5
100.0	1.463392	4	4
101.0	0	1	1
103.0	0	2	2
105.0	0	1	1
106.0	0	1	1
107.0	0	1	1
108.0	0	1	1
110.0	0	1	1
111.0	0	2	2
112.0	0	1	1
113.0	0	4	4
114.0	0	2	2
116.0	0	1	1
117.0	0	1	1
118.0	0	2	2
119.0	0	1	1
120.0	0	2	2
122.0	0	1	1
125.0	0	1	1
127.0	0	2	2
132.0	0	1	1
134.0	0	1	1
144.0	0	1	1
154.0	0	1	1
155.0	0	2	2
157.0	0	2	2
160.0	0	1	1
161.0	0	1	1
167.0	0	1	1
168.0	0	1	1
173.0	0	1	1
176.0	0	1	1
177.0	0	1	1
192.0	0	1	1
202.0	0	1	1
210.0	0	1	1

