## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI595221.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI595221_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI595221_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	127708335	550458	0	0	34866986	0	0.27302	189027465

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	66408390	66408390
2.0	1.508847	19989594	19989594
3.0	1.767773	4813001	4813001
4.0	1.899526	1056283	1056283
5.0	1.966569	230180	230180
6.0	2.000683	57459	57459
7.0	2.018042	20844	20844
8.0	2.026875	10984	10984
9.0	2.03137	7233	7233
10.0	2.033657	5411	5411
11.0	2.034821	4235	4235
12.0	2.035413	3282	3282
13.0	2.035715	2709	2709
14.0	2.035868	2237	2237
15.0	2.035946	1802	1802
16.0	2.035986	1585	1585
17.0	2.036006	1375	1375
18.0	2.036016	1152	1152
19.0	2.036021	992	992
20.0	2.036024	854	854
21.0	2.036025	775	775
22.0	2.036026	668	668
23.0	2.036026	611	611
24.0	2.036027	514	514
25.0	2.036027	502	502
26.0	2.036027	425	425
27.0	2.036027	350	350
28.0	2.036027	325	325
29.0	2.036027	317	317
30.0	2.036027	281	281
31.0	2.036027	270	270
32.0	2.036027	254	254
33.0	2.036027	215	215
34.0	2.036027	202	202
35.0	2.036027	180	180
36.0	2.036027	191	191
37.0	2.036027	156	156
38.0	2.036027	126	126
39.0	2.036027	108	108
40.0	2.036027	114	114
41.0	2.036027	109	109
42.0	2.036027	117	117
43.0	2.036027	84	84
44.0	2.036027	92	92
45.0	2.036027	88	88
46.0	2.036027	105	105
47.0	2.036027	68	68
48.0	2.036027	68	68
49.0	2.036027	50	50
50.0	2.036027	63	63
51.0	2.036027	63	63
52.0	2.036027	42	42
53.0	2.036027	38	38
54.0	2.036027	62	62
55.0	2.036027	46	46
56.0	2.036027	51	51
57.0	2.036027	40	40
58.0	2.036027	43	43
59.0	2.036027	39	39
60.0	2.036027	37	37
61.0	2.036027	27	27
62.0	2.036027	24	24
63.0	2.036027	33	33
64.0	2.036027	32	32
65.0	2.036027	18	18
66.0	2.036027	28	28
67.0	2.036027	20	20
68.0	2.036027	14	14
69.0	2.036027	33	33
70.0	2.036027	25	25
71.0	2.036027	25	25
72.0	2.036027	21	21
73.0	2.036027	20	20
74.0	2.036027	16	16
75.0	2.036027	8	8
76.0	2.036027	14	14
77.0	2.036027	15	15
78.0	2.036027	13	13
79.0	2.036027	14	14
80.0	2.036027	7	7
81.0	2.036027	17	17
82.0	2.036027	7	7
83.0	2.036027	14	14
84.0	2.036027	10	10
85.0	2.036027	11	11
86.0	2.036027	11	11
87.0	2.036027	4	4
88.0	2.036027	7	7
89.0	2.036027	8	8
90.0	2.036027	7	7
91.0	2.036027	7	7
92.0	2.036027	4	4
93.0	2.036027	4	4
94.0	2.036027	3	3
95.0	2.036027	6	6
96.0	2.036027	9	9
97.0	2.036027	10	10
98.0	2.036027	8	8
99.0	2.036027	7	7
100.0	2.036027	5	5
101.0	0	3	3
102.0	0	5	5
103.0	0	4	4
104.0	0	8	8
105.0	0	6	6
106.0	0	2	2
107.0	0	7	7
108.0	0	3	3
109.0	0	5	5
110.0	0	6	6
111.0	0	6	6
112.0	0	4	4
113.0	0	3	3
114.0	0	1	1
115.0	0	4	4
116.0	0	6	6
117.0	0	2	2
118.0	0	3	3
119.0	0	1	1
120.0	0	3	3
121.0	0	5	5
122.0	0	2	2
123.0	0	1	1
124.0	0	4	4
125.0	0	1	1
126.0	0	2	2
127.0	0	2	2
128.0	0	6	6
129.0	0	4	4
130.0	0	1	1
131.0	0	5	5
132.0	0	1	1
133.0	0	4	4
135.0	0	1	1
136.0	0	2	2
138.0	0	2	2
139.0	0	3	3
140.0	0	5	5
