## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601554.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601554_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601554_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	93379708	316819	0	0	27659452	0	0.296204	124659744

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	46142761	46142761
2.0	1.472803	13767980	13767980
3.0	1.696345	4029519	4029519
4.0	1.802037	1160900	1160900
5.0	1.852008	331743	331743
6.0	1.875635	95532	95532
7.0	1.886806	29795	29795
8.0	1.892087	11264	11264
9.0	1.894584	5497	5497
10.0	1.895765	3279	3279
11.0	1.896323	2385	2385
12.0	1.896587	1834	1834
13.0	1.896712	1326	1326
14.0	1.896771	1076	1076
15.0	1.896799	843	843
16.0	1.896812	690	690
17.0	1.896818	599	599
18.0	1.896821	473	473
19.0	1.896823	431	431
20.0	1.896823	364	364
21.0	1.896823	267	267
22.0	1.896824	268	268
23.0	1.896824	245	245
24.0	1.896824	206	206
25.0	1.896824	174	174
26.0	1.896824	145	145
27.0	1.896824	122	122
28.0	1.896824	122	122
29.0	1.896824	109	109
30.0	1.896824	102	102
31.0	1.896824	89	89
32.0	1.896824	86	86
33.0	1.896824	56	56
34.0	1.896824	54	54
35.0	1.896824	53	53
36.0	1.896824	53	53
37.0	1.896824	42	42
38.0	1.896824	39	39
39.0	1.896824	40	40
40.0	1.896824	41	41
41.0	1.896824	26	26
42.0	1.896824	35	35
43.0	1.896824	25	25
44.0	1.896824	20	20
45.0	1.896824	18	18
46.0	1.896824	28	28
47.0	1.896824	20	20
48.0	1.896824	24	24
49.0	1.896824	11	11
50.0	1.896824	9	9
51.0	1.896824	11	11
52.0	1.896824	13	13
53.0	1.896824	9	9
54.0	1.896824	13	13
55.0	1.896824	9	9
56.0	1.896824	5	5
57.0	1.896824	9	9
58.0	1.896824	7	7
59.0	1.896824	9	9
60.0	1.896824	6	6
61.0	1.896824	5	5
62.0	1.896824	8	8
63.0	1.896824	5	5
64.0	1.896824	5	5
65.0	1.896824	3	3
66.0	1.896824	8	8
67.0	1.896824	6	6
68.0	1.896824	5	5
69.0	1.896824	4	4
70.0	1.896824	4	4
71.0	1.896824	3	3
72.0	1.896824	2	2
73.0	1.896824	5	5
74.0	1.896824	8	8
75.0	1.896824	6	6
76.0	1.896824	3	3
77.0	1.896824	3	3
78.0	1.896824	1	1
79.0	1.896824	2	2
80.0	1.896824	1	1
81.0	1.896824	2	2
82.0	1.896824	2	2
83.0	1.896824	4	4
84.0	1.896824	2	2
85.0	1.896824	5	5
86.0	1.896824	0	0
87.0	1.896824	3	3
88.0	1.896824	1	1
89.0	1.896824	2	2
90.0	1.896824	1	1
91.0	1.896824	2	2
92.0	1.896824	2	2
93.0	1.896824	3	3
94.0	1.896824	0	0
95.0	1.896824	1	1
96.0	1.896824	1	1
97.0	1.896824	0	0
98.0	1.896824	1	1
99.0	1.896824	0	0
100.0	1.896824	1	1
103.0	0	2	2
104.0	0	2	2
105.0	0	1	1
106.0	0	1	1
109.0	0	1	1
110.0	0	1	1
111.0	0	1	1
112.0	0	1	1
116.0	0	2	2
136.0	0	1	1
154.0	0	1	1
155.0	0	1	1
166.0	0	1	1
178.0	0	1	1
182.0	0	1	1
215.0	0	1	1

