## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI601716.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI601716_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI601716_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	74150478	302962	0	0	44750081	0	0.603504	32831449

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12988129	12988129
2.0	1.104505	6184530	6184530
3.0	1.115426	3574609	3574609
4.0	1.116568	2275365	2275365
5.0	1.116687	1497403	1497403
6.0	1.116699	991518	991518
7.0	1.116701	651285	651285
8.0	1.116701	425553	425553
9.0	1.116701	273787	273787
10.0	1.116701	172786	172786
11.0	1.116701	106165	106165
12.0	1.116701	64708	64708
13.0	1.116701	38160	38160
14.0	1.116701	22105	22105
15.0	1.116701	12470	12470
16.0	1.116701	6842	6842
17.0	1.116701	3933	3933
18.0	1.116701	2226	2226
19.0	1.116701	1267	1267
20.0	1.116701	818	818
21.0	1.116701	480	480
22.0	1.116701	333	333
23.0	1.116701	282	282
24.0	1.116701	202	202
25.0	1.116701	174	174
26.0	1.116701	133	133
27.0	1.116701	128	128
28.0	1.116701	99	99
29.0	1.116701	93	93
30.0	1.116701	73	73
31.0	1.116701	80	80
32.0	1.116701	62	62
33.0	1.116701	70	70
34.0	1.116701	53	53
35.0	1.116701	41	41
36.0	1.116701	32	32
37.0	1.116701	22	22
38.0	1.116701	31	31
39.0	1.116701	21	21
40.0	1.116701	35	35
41.0	1.116701	23	23
42.0	1.116701	21	21
43.0	1.116701	15	15
44.0	1.116701	9	9
45.0	1.116701	18	18
46.0	1.116701	17	17
47.0	1.116701	13	13
48.0	1.116701	16	16
49.0	1.116701	18	18
50.0	1.116701	9	9
51.0	1.116701	11	11
52.0	1.116701	7	7
53.0	1.116701	7	7
54.0	1.116701	6	6
55.0	1.116701	12	12
56.0	1.116701	7	7
57.0	1.116701	2	2
58.0	1.116701	5	5
59.0	1.116701	7	7
60.0	1.116701	11	11
61.0	1.116701	4	4
62.0	1.116701	3	3
63.0	1.116701	6	6
64.0	1.116701	1	1
65.0	1.116701	3	3
66.0	1.116701	4	4
67.0	1.116701	2	2
68.0	1.116701	1	1
69.0	1.116701	1	1
70.0	1.116701	2	2
71.0	1.116701	3	3
72.0	1.116701	2	2
73.0	1.116701	1	1
74.0	1.116701	0	0
75.0	1.116701	1	1
76.0	1.116701	0	0
77.0	1.116701	1	1
78.0	1.116701	2	2
79.0	1.116701	2	2
80.0	1.116701	1	1
81.0	1.116701	1	1
82.0	1.116701	1	1
83.0	1.116701	2	2
84.0	1.116701	0	0
85.0	1.116701	0	0
86.0	1.116701	0	0
87.0	1.116701	0	0
88.0	1.116701	1	1
89.0	1.116701	2	2
90.0	1.116701	1	1
91.0	1.116701	0	0
92.0	1.116701	0	0
93.0	1.116701	0	0
94.0	1.116701	0	0
95.0	1.116701	1	1
96.0	1.116701	1	1
97.0	1.116701	0	0
98.0	1.116701	0	0
99.0	1.116701	0	0
100.0	1.116701	1	1
104.0	0	1	1
106.0	0	1	1
110.0	0	1	1
123.0	0	1	1
124.0	0	1	1
153.0	0	1	1

