BTx643	0.00324941
BTx645	0.00262053
ExPVP_PI543243	0.0194849
ExPVP_PI543247	0.0129193
ExPVP_PI544069	0.0161041
ExPVP_PI554646	0.0143444
ExPVP_PI554647	0.0159582
ExPVP_PI554648	0.0127684
ExPVP_PI554649	0.0179559
ExPVP_PI554650	0.0180616
ExPVP_PI554652	0.0142177
ExPVP_PI554654	0.014328
ExPVP_PI555457	0.0114575
ExPVP_PI561926	0.019401
ExPVP_PI562621	0.0204024
ExPVP_PI562622	0.0149075
ExPVP_PI562623	0.0148839
ExPVP_PI562624	0.0165736
ExPVP_PI562625	0.0130689
ExPVP_PI564085	0.0166866
ExPVP_PI574398	0.0232038
ExPVP_PI574406	0.0113693
ExPVP_PI574407	0.0281722
ExPVP_PI594354	0.0168227
ExPVP_PI594355	0.0115613
ExPVP_PI595221	0.0184785
ExPVP_PI596332	0.0134901
ExPVP_PI596567	0.0160713
ExPVP_PI601264	0.018193
ExPVP_PI601415	0.0190293
ExPVP_PI601552	0.112739
ExPVP_PI601553	0.0166082
ExPVP_PI601554	0.0157848
ExPVP_PI601555	0.0131806
ExPVP_PI601556	0.021556
ExPVP_PI601557	0.0172067
ExPVP_PI601716	0.0221619
ExPVP_PI601717	0.0143069
ExPVP_PI601718	0.0103281
ExPVP_PI601719	0.0150343
ExPVP_PI601720	0.010117
ExPVP_PI601721	0.0129366
ExPVP_PI601743	0.0217923
ExPVP_PI601744	0.0163632
ExPVP_PI601756	0.0184295
ExPVP_PI602599	0.011413
ExPVP_PI602600	0.012457
PI152651	0.0158799
PI153844	0.008088
PI153846	0.0110593
PI17548	0.0100298
PI22326	0.00833381
PI24969	0.0238676
PI276837	0.0151454
PI329435	0.0114702
PI329440	0.017556
PI34911	0.00823447
PI35038	0.0158205
PI48770	0.00531425
PI533745	0.00726899
PI533746	0.0104147
PI533747	0.00837392
PI533749	0.00779937
PI533750	0.00969304
PI533751	0.00882372
PI533752	0.0184398
PI533753	0.00778418
PI533754	0.0217063
PI533755	0.0218902
PI533756	0.00652059
PI533757	0.0170017
PI533758	0.0160799
PI533759	0.0131381
PI533760	0.0168862
PI533761	0.0144198
PI533762	0.00733274
PI533763	0.00895847
PI533764	0.0075072
PI533765	0.00770612
PI533766	0.0200963
PI533768	0.00875418
PI533769	0.0177361
PI533770	0.00874365
PI533771	0.00802896
PI533772	0.00887036
PI533774	0.00793193
PI533775	0.00832192
PI533776	0.0200858
PI533777	0.00698654
PI533778	0.0087087
PI533779	0.00822627
PI533780	0.00963149
PI533781	0.00985416
PI533782	0.00779549
PI533783	0.00861282
PI533784	0.00948802
PI533785	0.025612
PI533786	0.00901558
PI533787	0.00790258
PI533788	0.0250432
PI533789	0.0157939
PI533790	0.0102027
PI533791	0.0100282
PI533792	0.0163179
PI533793	0.00672982
PI533794	0.0157904
PI533795	0.0106855
PI533797	0.0100601
PI533798	0.00583094
PI533799	0.0151884
PI533800	0.0172947
PI533802	0.00657697
PI533803	0.00920177
PI533804	0.00800289
PI533807	0.0198899
PI533808	0.00718569
PI533809	0.00958714
PI533810	0.0225391
PI533811	0.00890541
PI533812	0.00859835
PI533813	0.0101425
PI533814	0.0253386
PI533816_1	0.0109736
PI533816_2	0.0102557
PI533818	0.00708738
PI533819	0.0293085
PI533820	0.00717066
PI533821	0.0151594
PI533822	0.0209753
PI533823	0.00802389
PI533824	0.022715
PI533825	0.00905904
PI533828	0.00892893
PI533829	0.00774034
PI533830	0.00598027
PI533831	0.0188767
PI533832	0.00747063
PI533833	0.00835898
PI533834	0.00550398
PI533835	0.00545544
PI533836	0.00621079
PI533837	0.0055388
PI533838	0.0241944
PI533839	0.0420725
PI533840	0.00799964
PI533841	0.00614558
PI533842	0.0216177
PI533843	0.0247152
PI533844	0.0067797
PI533846	0.00757817
PI533847	0.0061844
PI533848	0.00764682
PI533849	0.00858648
