PSC	0	BTx643	20305505	516857	67881	393463	191275	0	5.6	1610	0	0	9969962
PSC	0	BTx645	25168456	417868	67226	325916	159178	0	11.0	1695	0	0	5206655
PSC	0	ExPVP_PI543243	25426486	1560351	536285	1425038	671598	0	36.1	3987	0	0	3337083
PSC	0	ExPVP_PI543247	27017758	836775	364570	812277	389068	0	24.0	6569	0	0	2641102
PSC	0	ExPVP_PI544069	26263958	1246624	450286	1149690	547220	0	36.7	3894	0	0	2899337
PSC	0	ExPVP_PI554646	26909799	1156911	408460	1064947	500424	0	36.5	4755	0	0	2385035
PSC	0	ExPVP_PI554647	26354771	1238929	447486	1144307	542108	0	34.7	7779	0	0	2819019
PSC	0	ExPVP_PI554648	27355042	970738	366352	906668	430422	0	34.5	2221	0	0	2168073
PSC	0	ExPVP_PI554649	25827297	1462935	498980	1333686	628229	0	35.3	6547	0	0	3070993
PSC	0	ExPVP_PI554650	26142998	1366679	506007	1272942	599744	0	40.2	4961	0	0	2844521
PSC	0	ExPVP_PI554652	26796865	1149684	403066	1057523	495227	0	35.7	3260	0	0	2510590
PSC	0	ExPVP_PI554654	26154685	1164289	397117	1057901	503505	0	21.6	9086	0	0	3144114
PSC	0	ExPVP_PI555457	27578761	901252	330092	835983	395361	0	35.4	2138	0	0	2050100
PSC	0	ExPVP_PI561926	25683997	1493813	537709	1380993	650529	0	38.3	3858	0	0	3144686
PSC	0	ExPVP_PI562621	26338240	1232801	574232	1221596	585437	0	36.0	3539	0	0	2714932
PSC	0	ExPVP_PI562622	26595611	1159572	420022	1069241	510353	0	36.0	3840	0	0	2685000
PSC	0	ExPVP_PI562623	26372117	1141411	415696	1051414	505693	0	26.3	5456	0	0	2930981
PSC	0	ExPVP_PI562624	26542593	1164621	466946	1104871	526696	0	35.4	2969	0	0	2686045
PSC	0	ExPVP_PI562625	26675703	1124313	368126	1014587	477852	0	32.0	5069	0	0	2692063
PSC	0	ExPVP_PI564085	25979018	1399013	464598	1267420	596191	0	35.4	8057	0	0	3017576
PSC	0	ExPVP_PI574398	25055586	1681510	635139	1575043	741606	0	34.5	11803	0	0	3487970
PSC	0	ExPVP_PI574406	26805931	929019	318952	844275	403696	0	20.2	3928	0	0	2806303
PSC	0	ExPVP_PI574407	24206031	1942091	758006	1828945	871152	0	32.5	104224	0	0	3954077
PSC	0	ExPVP_PI594354	26210485	1349112	471560	1238129	582543	0	36.6	4368	0	0	2829048
PSC	0	ExPVP_PI594355	27585082	902525	333205	839548	396182	0	36.4	2615	0	0	2039393
PSC	0	ExPVP_PI595221	25688319	1487804	511629	1353322	646111	0	37.2	4376	0	0	3172453
PSC	0	ExPVP_PI596332	26995474	1108719	384314	1018749	474284	0	36.2	2945	0	0	2371698
PSC	0	ExPVP_PI596567	25734937	1358656	442541	1218777	582420	0	26.0	5817	0	0	3324071
PSC	0	ExPVP_PI601264	25686063	1412737	502144	1298009	616872	0	34.2	5302	0	0	3259261
PSC	0	ExPVP_PI601415	25509168	1457806	523116	1342380	638542	0	33.9	3424	0	0	3370115
PSC	0	ExPVP_PI601552	25634331	531335	3324717	2579873	1276179	0	34.1	107616	0	0	1369822
PSC	0	ExPVP_PI601553	24704485	1308432	439323	1182243	565512	0	17.3	4720	0	0	4407965
PSC	0	ExPVP_PI601554	26018985	1186515	436321	1099959	522877	0	27.8	6367	0	0	3218384
PSC	0	ExPVP_PI601555	25102437	1160683	350786	1028474	482995	0	19.2	3360	0	0	4246299
PSC	0	ExPVP_PI601556	24588953	1634538	577727	1500202	712063	0	26.2	4145	0	0	4058987
PSC	0	ExPVP_PI601557	25941386	1386929	478464	1265525	599868	0	33.8	3044	0	0	3053426
PSC	0	ExPVP_PI601716	23375118	1474400	563195	1382812	654783	0	13.5	6133	0	0	5447492
PSC	0	ExPVP_PI601717	25118426	1230660	382444	1094935	518169	0	19.4	3888	0	0	4128675
PSC	0	ExPVP_PI601718	26180302	973584	283375	849966	406993	0	15.3	3955	0	0	3422944
PSC	0	ExPVP_PI601719	26613420	1131842	423497	1055777	499562	0	36.2	1982	0	0	2691446
PSC	0	ExPVP_PI601720	26570893	993721	281721	860649	414793	0	20.8	7832	0	0	3013870
PSC	0	ExPVP_PI601721	26151581	1098050	357138	985625	469563	0	24.5	3072	0	0	3253436
PSC	0	ExPVP_PI601743	23969797	1570657	568984	1451813	687828	0	24.0	4442	0	0	4750767
PSC	0	ExPVP_PI601744	24613364	1427860	433207	1259453	601614	0	15.6	3444	0	0	4385774
PSC	0	ExPVP_PI601756	25175825	1501422	500879	1356244	646057	0	25.1	4666	0	0	3682079
PSC	0	ExPVP_PI602599	27267311	945443	325709	860941	410211	0	35.1	2318	0	0	2321742
PSC	0	ExPVP_PI602600	25901743	1118451	340837	981938	477350	0	19.2	4703	0	0	3499174
PSC	0	PI152651	25202641	1389871	429101	1228474	590498	0	16.8	6230	0	0	3838592
PSC	0	PI153844	20517672	1206267	177136	924761	458642	0	7.8	14980	0	0	8959130
PSC	0	PI153846	22437354	778330	259621	693659	344292	0	8.4	6386	0	0	7384900
PSC	0	PI17548	21306501	1433893	230393	1116011	548275	0	12.2	778	0	0	7889418
PSC	0	PI22326	21962192	1131641	194077	888004	437714	0	10.3	4788	0	0	7572295
