BTx643	20305505	516857	67881	393463
BTx645	25168456	417868	67226	325916
ExPVP_PI543243	25426486	1560351	536285	1425038
ExPVP_PI543247	27017758	836775	364570	812277
ExPVP_PI544069	26263958	1246624	450286	1149690
ExPVP_PI554646	26909799	1156911	408460	1064947
ExPVP_PI554647	26354771	1238929	447486	1144307
ExPVP_PI554648	27355042	970738	366352	906668
ExPVP_PI554649	25827297	1462935	498980	1333686
ExPVP_PI554650	26142998	1366679	506007	1272942
ExPVP_PI554652	26796865	1149684	403066	1057523
ExPVP_PI554654	26154685	1164289	397117	1057901
ExPVP_PI555457	27578761	901252	330092	835983
ExPVP_PI561926	25683997	1493813	537709	1380993
ExPVP_PI562621	26338240	1232801	574232	1221596
ExPVP_PI562622	26595611	1159572	420022	1069241
ExPVP_PI562623	26372117	1141411	415696	1051414
ExPVP_PI562624	26542593	1164621	466946	1104871
ExPVP_PI562625	26675703	1124313	368126	1014587
ExPVP_PI564085	25979018	1399013	464598	1267420
ExPVP_PI574398	25055586	1681510	635139	1575043
ExPVP_PI574406	26805931	929019	318952	844275
ExPVP_PI574407	24206031	1942091	758006	1828945
ExPVP_PI594354	26210485	1349112	471560	1238129
ExPVP_PI594355	27585082	902525	333205	839548
ExPVP_PI595221	25688319	1487804	511629	1353322
ExPVP_PI596332	26995474	1108719	384314	1018749
ExPVP_PI596567	25734937	1358656	442541	1218777
ExPVP_PI601264	25686063	1412737	502144	1298009
ExPVP_PI601415	25509168	1457806	523116	1342380
ExPVP_PI601552	25634331	531335	3324717	2579873
ExPVP_PI601553	24704485	1308432	439323	1182243
ExPVP_PI601554	26018985	1186515	436321	1099959
ExPVP_PI601555	25102437	1160683	350786	1028474
ExPVP_PI601556	24588953	1634538	577727	1500202
ExPVP_PI601557	25941386	1386929	478464	1265525
ExPVP_PI601716	23375118	1474400	563195	1382812
ExPVP_PI601717	25118426	1230660	382444	1094935
ExPVP_PI601718	26180302	973584	283375	849966
ExPVP_PI601719	26613420	1131842	423497	1055777
ExPVP_PI601720	26570893	993721	281721	860649
ExPVP_PI601721	26151581	1098050	357138	985625
ExPVP_PI601743	23969797	1570657	568984	1451813
ExPVP_PI601744	24613364	1427860	433207	1259453
ExPVP_PI601756	25175825	1501422	500879	1356244
ExPVP_PI602599	27267311	945443	325709	860941
ExPVP_PI602600	25901743	1118451	340837	981938
PI152651	25202641	1389871	429101	1228474
PI153844	20517672	1206267	177136	924761
PI153846	22437354	778330	259621	693659
PI17548	21306501	1433893	230393	1116011
PI22326	21962192	1131641	194077	888004
PI24969	24486024	1635993	638715	1543789
PI276837	26256778	1186048	422024	1081248
PI329435	27670380	723879	329466	715152
PI329440	26020770	1264845	487587	1185735
PI34911	22517509	1187622	196820	928910
PI35038	26255073	1132479	440251	1063361
PI48770	23302396	812285	128836	627411
PI533745	14413347	766478	111150	587269
PI533746	20200411	1451044	227866	1123828
PI533747	17594620	1077470	157679	827742
PI533749	15942353	884826	132273	678740
PI533750	21781274	1472699	227608	1139075
PI533751	23032464	1058586	214465	856247
PI533752	25739451	1331420	508559	1249610
PI533753	19029300	992878	157079	770068
PI533754	24806018	1483576	583311	1397945
PI533755	25482441	1357707	600686	1327370
PI533756	23580770	956707	161049	745646
PI533757	26365935	1148042	475876	1108269
PI533758	26377733	1118335	449359	1069902
PI533759	26663393	1109737	369745	1007797
PI533760	25761024	1234034	463674	1154614
PI533761	26431548	1114702	403022	1035852
PI533762	22973624	1113036	177926	867540
PI533763	22014862	1315087	210890	1025926
PI533764	12591581	627901	99992	487083
PI533765	14557704	787458	119170	607861
PI533766	25512464	1412817	552196	1336976
PI533768	22998310	1211972	213813	956768
PI533769	25639395	1301925	486461	1216506
PI533770	22807240	1280327	212471	1002707
PI533771	22398092	1247119	191383	966353
PI533772	20498181	1311602	195192	1011646
PI533774	21974853	1235891	185578	953916
PI533775	20201583	1132818	179033	878224
PI533776	25443486	1400841	550242	1328676
PI533777	17172938	987610	127772	748724
PI533778	22580316	1324416	210008	1033696
PI533779	19076694	1118963	167513	860485
PI533780	21883407	1470049	227116	1138713
PI533781	21980078	1402326	232707	1097886
PI533782	22180389	1130174	183145	880070
PI533783	22517035	1325795	207138	1030066
PI533784	21489153	1256343	217877	991399
PI533785	24629806	1556743	688320	1525317
PI533786	22041490	1416460	213411	1090945
PI533787	22102120	1167030	185351	908929
PI533788	24651681	1551583	673069	1509822
PI533789	26186258	1225754	439891	1133911
PI533790	21968066	1438919	241275	1128748
PI533791	21474155	1414647	231859	1106684
PI533792	25558808	1340967	446229	1212678
PI533793	23271375	993272	164403	777942
PI533794	26537333	1135285	443973	1075558
PI533795	21603689	1518805	249744	1185651
PI533797	21941119	1508764	238305	1170884
