BTx643	0.0184866
BTx645	0.0125451
ExPVP_PI543243	0.0492272
ExPVP_PI543247	0.0279793
ExPVP_PI544069	0.0394939
ExPVP_PI554646	0.0360509
ExPVP_PI554647	0.0392081
ExPVP_PI554648	0.0306319
ExPVP_PI554649	0.0457951
ExPVP_PI554650	0.043462
ExPVP_PI554652	0.0359614
ExPVP_PI554654	0.0367659
ExPVP_PI555457	0.0281988
ExPVP_PI561926	0.0474625
ExPVP_PI562621	0.0415978
ExPVP_PI562622	0.0365622
ExPVP_PI562623	0.0362799
ExPVP_PI562624	0.0377359
ExPVP_PI562625	0.0347667
ExPVP_PI564085	0.0435389
ExPVP_PI574398	0.0544107
ExPVP_PI574406	0.0292155
ExPVP_PI574407	0.0636485
ExPVP_PI594354	0.0423013
ExPVP_PI594355	0.0283054
ExPVP_PI595221	0.0466003
ExPVP_PI596332	0.0345254
ExPVP_PI596567	0.042385
ExPVP_PI601264	0.0449154
ExPVP_PI601415	0.0465579
ExPVP_PI601552	0.0804444
ExPVP_PI601553	0.0427814
ExPVP_PI601554	0.0382704
ExPVP_PI601555	0.0372064
ExPVP_PI601556	0.053008
ExPVP_PI601557	0.0435303
ExPVP_PI601716	0.0516061
ExPVP_PI601717	0.0393487
ExPVP_PI601718	0.0300477
ExPVP_PI601719	0.0361264
ExPVP_PI601720	0.0299805
ExPVP_PI601721	0.0344716
ExPVP_PI601743	0.0526759
ExPVP_PI601744	0.0454121
ExPVP_PI601756	0.0475302
ExPVP_PI602599	0.0292843
ExPVP_PI602600	0.0346449
PI152651	0.0434857
PI153844	0.0405138
PI153846	0.0287004
PI17548	0.0463329
PI22326	0.0367309
PI24969	0.0545421
PI276837	0.0373538
PI329435	0.0242928
PI329440	0.0409454
PI34911	0.0374095
PI35038	0.0368058
PI48770	0.0252267
PI533745	0.0369858
PI533746	0.0488554
PI533747	0.0421082
PI533749	0.0384813
PI533750	0.046265
PI533751	0.0340297
PI533752	0.0433455
PI533753	0.0367586
PI533754	0.0494483
PI533755	0.0461402
PI533756	0.0293052
PI533757	0.0380873
PI533758	0.0368737
PI533759	0.034572
PI533760	0.0403523
PI533761	0.0357374
PI533762	0.0345192
PI533763	0.0417607
PI533764	0.0352791
PI533765	0.0378207
PI533766	0.0463995
PI533768	0.0376964
PI533769	0.0424694
PI533770	0.0396284
PI533771	0.0389612
PI533772	0.0439528
PI533774	0.0391748
PI533775	0.039221
PI533776	0.0462579
PI533777	0.0393298
PI533778	0.0411038
PI533779	0.0405437
PI533780	0.0460658
PI533781	0.0444254
PI533782	0.0361072
PI533783	0.0410712
PI533784	0.0413863
PI533785	0.053708
PI533786	0.0440567
PI533787	0.0373071
PI533788	0.0531887
PI533789	0.0391195
PI533790	0.0455563
PI533791	0.0456791
PI533792	0.0424627
PI533793	0.0308622
PI533794	0.0368441
PI533795	0.0482798
PI533797	0.0471009
PI533798	0.0291433
PI533799	0.035663
PI533800	0.039957
PI533802	0.0311159
PI533803	0.0445122
PI533804	0.0402222
PI533807	0.0459218
PI533808	0.0357111
PI533809	0.0441451
PI533810	0.0517678
PI533811	0.0384645
PI533812	0.0409036
PI533813	0.0463771
PI533814	0.0538759
PI533816_1	0.047817
PI533816_2	0.0468116
PI533818	0.0396185
PI533819	0.0460285
PI533820	0.0337405
PI533821	0.0375565
PI533822	0.0450841
PI533823	0.0389611
PI533824	0.0546091
