sample	nRefHom	nAltHom	nHet	nMissing	nCalled	het_rate
PI533816_2	22893414	1658765	285098	1279463	24837277	0.0114786
PI533905_2	23516265	1589144	264890	1220096	25370299	0.0104409
PI534126_2	22103668	1875720	292737	1424769	24272125	0.0120606
PI576404_2	24979178	1295330	226586	1004877	26501094	0.00855006
PI576411_2	25705806	1356560	239734	1052439	27302100	0.00878079
PI576416_1	24583443	1426553	242302	1097607	26252298	0.00922974
